,best_param,net_param,opt_param,best_score,predicted_score,optimized_score,best_time,ours_time
sp_0_1.csv,"[4, 0.5]","[1.0000122785568235, 0.44467559456825256]","[3.5125474492304947, 0.13509771058670356]",0.8385824765926497,0.8384627076198274,0.8385116578376467,8.967021465301514,10.272360801696776
sp_0_10.csv,"[0.125, 0.5]","[1.0000122785568235, 0.4710736572742462]","[1.3839268743799564, 0.6519234894346727]",0.836972301852817,0.8365373171980082,0.8366089034694688,9.635753393173218,7.8991830348968515
sp_0_11.csv,"[4, 0.5]","[1.0000122785568235, 0.3324308395385742]","[3.363626960992528, 1.0253568788716785]",0.8396361534549175,0.8388566743371888,0.8397662582988522,12.146477460861206,8.835625886917112
sp_0_12.csv,"[32, 0.25]","[1.0000122785568235, 0.4808463156223297]","[10.374843823753384, 0.5843472156163715]",0.8653829027475192,0.8627229059793879,0.8653086033154187,10.699041843414307,7.279196500778197
sp_0_2.csv,"[1, 0.25]","[1.0000122785568235, 0.3118661046028137]","[0.8409067402481321, 0.3256735966644838]",0.8287694441830183,0.8287711778064152,0.8287495414987692,8.836055517196655,6.698094606399536
sp_0_3.csv,"[0.5, 0.125]","[1.0000122785568235, 0.2634376287460327]","[0.5221433023011955, 0.009790059452007107]",0.8685575553262291,0.8685055779613219,0.868549434345485,8.051958799362183,14.636813640594482
sp_0_4.csv,"[1, 0.5]","[1.0000122785568235, 0.4172957241535187]","[1.1892217167498578, 0.4650288227386338]",0.8218954230868981,0.8218864666250669,0.8218814715393844,7.965057373046875,8.720495939254759
sp_0_5.csv,"[1, 0.25]","[1.0000122785568235, 0.07019376754760742]","[2.593710955938345, 0.07019376754760741]",0.8567730127550494,0.8567674617109382,0.8567529511785447,8.796652555465698,6.918772220611572
sp_0_6.csv,"[2, 0.015625]","[1.0000122785568235, 0.2680062055587769]","[5.417088700962318, 1.049053540903809]",0.7141342519360636,0.7137455618355013,0.7132639627841193,10.7602698802948,7.507027387619018
sp_0_7.csv,"[2, 0.015625]","[1.0000122785568235, 0.15344801545143127]","[2.0000245571136475, 0.009590500965714458]",0.8445260135229209,0.8442159204668791,0.8445360460544983,11.593092918395996,13.45984983444214
sp_0_8.csv,"[2, 0.5]","[1.0000122785568235, 0.4756629168987274]","[3.7483812923681854, 1.1313234502378295]",0.8939596096716572,0.8937378092015222,0.8941882110474481,10.597270488739014,8.613511323928831
sp_0_9.csv,"[2, 0.015625]","[1.0000122785568235, 0.3068853914737701]","[1.6457756856561212, 0.009590168483555312]",0.8849441091616977,0.8848456895848926,0.8849439338911538,8.837362051010132,14.486693859100342
sp_0_Features_Variant_1.csv,"[0.25, 0.5]","[1.0000122785568235, 0.4800802171230316]","[0.21022668506203304, 1.0934197900624667]",0.521481321359199,0.4484359240110397,0.5139419179916489,15.520975112915039,58.60000610351562
sp_0_Features_Variant_2.csv,"[64, 0.5]","[71.9127197265625, 0.4765772521495819]","[143.825439453125, 1.1334981182094572]",0.5290702315961637,0.5292815567027331,0.5141036341633692,8.249720811843872,7.738421201705933
sp_0_Features_Variant_3.csv,"[64, 0.5]","[69.66593933105469, 0.478572279214859]","[75.97124554390383, 0.7380593497453073]",0.3077662558639288,0.30978122072491904,0.3269143078985044,11.015416383743286,17.45767879486084
