,best_param,net_param,opt_param,best_score,predicted_score,optimized_score,best_time,ours_time
sp_2_MFCCs.csv,"['spherical', 6]","['full', 3.0]","['full', '3.0']",0.16731039302649633,0.07255576139344307,0.08348925468590401,1.30348801612854,0.4195685386657715
sp_2_S01R01.csv,"['spherical', 3]","['tied', 2.0]","['tied', '2.0']",0.40563149708591184,0.18873989640514313,0.18873989640514313,1.3510725498199463,0.009852886199951172
sp_2_S03R02.csv,"['tied', 3]","['full', 2.0]","['full', '2.0']",0.4146583960114542,0.2995956643287044,0.2995956643287044,0.9414503574371338,0.008920431137084961
sp_2_waveform-5000_0_2.csv,"['full', 2]","['full', 2.0]","['full', '2.0']",0.5156321488142914,0.5156321488142914,0.5156321488142914,2.4618353843688965,0.008376836776733398
sp_2_waveform-5000_1_2.csv,"['spherical', 2]","['full', 2.0]","['full', '2.0']",0.7733657083040965,0.7057416789367639,0.7057416789367639,2.7691800594329834,0.00840449333190918
sp_acute_inflammations2.csv,"['full', 2]","['full', 2.0]","['full', '2.0']",0.43956043956043955,0.43956043956043955,0.43956043956043955,0.5123286247253418,0.00787973403930664
sp_bank_modified_sampling.csv,"['tied', 3]","['full', 3.0]","['full', '3.0']",0.5036487437688943,0.38674347420913313,0.38674347420913313,2.734973907470703,0.007927656173706055
sp_monk (1).csv,"['tied', 2]","['full', 2.0]","['full', '2.0']",0.12409261174840513,0.12409261174840513,0.12409261174840513,0.8882982730865479,0.008444786071777344
sp_QCM12.csv,"['full', 1]","['full', 2.0]","['full', '2.0']",0.0,0.22379447036981284,0.14449961235834588,0.5312175750732422,0.00791025161743164
sp_testing.csv,"['tied', 6]","['tied', 2.0]","['tied', '2.0']",0.2804792052736593,0.16381024641752914,0.16381024641752914,0.828779935836792,0.007901668548583984
sp_waveform-5000_0_1.csv,"['diag', 3]","['full', 2.0]","['full', '2.0']",0.33262004884024443,0.45318591668098346,0.45318591668098346,3.0586981773376465,0.008394241333007812
sp_waveform-5000_0_2.csv,"['full', 2]","['full', 2.0]","['full', '2.0']",0.48357540608107824,0.48357540608107824,0.48357540608107824,2.890434503555298,0.007929801940917969
