,MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family,Genus,Species,Label
3586,1.0,0.618583016,0.290290738,0.47109107200000006,0.156690954,0.037332928,-0.038943045,0.029788539,0.17212819699999998,0.060905355999999994,-0.227334767,0.04503822,0.297378207,-0.044631065,-0.18537227,0.059025272000000004,0.190168353,0.046085487,-0.065440014,-0.139974483,0.010104308000000001,0.204273814,0,0,3,22
6051,1.0,0.105528949,0.33946397799999994,0.366165804,0.21024135300000002,0.187957785,0.123178958,-0.138396304,-0.053604357000000005,0.139384667,0.08801786800000001,0.040069141,0.123538146,-0.028218722,-0.11028048800000001,-0.013778061000000001,0.079695817,0.029312972000000003,0.031228633,0.01846902,-0.055253234000000005,-0.028234289,2,2,6,41
4385,1.0,0.17978143600000002,0.17004077199999998,0.583483625,0.239560692,0.026180586000000002,-0.157195356,0.01922879,0.208752253,0.017730393,-0.198457248,0.18595145800000001,0.21642946600000001,-0.263299978,-0.178213447,0.236743354,0.20795,-0.11168116800000001,-0.191471239,-0.090189136,0.175122688,0.159302105,0,0,3,24
2955,1.0,0.2303221,0.25009311300000003,0.662759372,0.222762002,0.020725036000000002,-0.10592026,0.11822235099999999,0.38071618,0.043374614000000006,-0.399361223,0.036207697999999996,0.445355531,-0.080670786,-0.30892937800000003,0.103744745,0.20105499300000002,-0.034092489,-0.10004088800000001,-0.08792594199999999,0.073471808,0.205390392,0,0,3,20
133,1.0,0.24181530199999998,0.018024677,0.18073157,0.344633529,0.29035284,0.094978051,-0.09822187199999999,0.003693026,0.260397427,0.067849052,-0.390834313,-0.283318071,0.315714373,0.31241802399999996,0.014178082,-0.127956676,-0.17338830100000002,-0.072609544,0.09183595300000001,0.12057377400000001,-0.007896006,0,0,1,4
5106,1.0,0.640742024,0.694626979,0.417853993,-0.050391782,0.135931805,0.128818155,0.39001812399999997,0.18236449899999999,-0.37271557,0.013125021,0.538973894,-0.129763125,-0.301400341,0.25608850699999997,0.208588837,-0.063716873,-0.025223769,-0.020786031,0.074705106,-0.01897972,-0.24635285699999998,2,2,5,36
7107,1.0,0.21332727899999998,0.721748858,0.54896702,0.099621443,-0.002991534,-0.083444898,0.20761361899999997,-0.009862729,-0.132510415,0.022861247,0.051039245,-0.033933835,-0.088800324,0.013679278000000001,0.170474858,0.080420608,0.062209348,0.012910192,-0.016529231000000002,0.02571605,0.000904254,2,6,10,57
6058,1.0,0.044283782,0.299174981,0.37838023,0.24474683100000003,0.18104309,0.080835448,-0.16672502,-0.06328409900000001,0.08288050799999999,0.08526652,0.04096659,0.067917395,-0.038268215,-0.103509428,0.020451961,0.09137357800000001,0.021601192,0.017891955,0.004944175,-0.04738894,-0.042536860999999995,2,2,6,41
5199,1.0,0.68629427,0.660706196,0.36710516200000004,-0.006962408000000001,0.10760570300000001,0.018317321,0.160502604,0.148033356,-0.258597539,0.012409544,0.35699616799999995,-0.108627578,-0.261243104,0.195559543,0.048617167999999995,-0.126544489,0.002337116,-0.019543733,0.108010501,0.07147012700000001,-0.19394852399999998,2,2,5,36
5749,0.912229555,0.8245311409999999,1.0,0.477990051,-0.034837106,0.332002139,0.048994397,-0.12195668800000001,0.158496939,-0.03034376,-0.147439576,0.115400241,0.240335246,-0.066468815,-0.059556702,0.096327786,0.108685836,0.11987309,0.050167057,-0.097426606,-0.039253628,0.16198348099999998,2,2,6,40
