,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
8293,129593,101,1019,207,-309,944,70,-320,-200,-902,0
79683,1245062,313,980,148,-581,453,676,-194,971,223,1
168279,2629375,-818,0,-574,-118,9,-969,9,47,-970,0
52567,821375,111,1029,158,-263,944,121,58,971,-9,1
127319,1989375,191,1235,168,-281,953,454,339,904,29,1
42657,666531,777,1460,465,-1354,888,262,281,1638,58,1
140667,2197937,80,1019,138,-672,425,565,-262,895,378,1
72770,1137046,313,980,148,-572,444,666,-184,971,223,1
85357,1333718,262,990,158,-581,425,686,-174,961,242,1
57284,895078,181,1029,188,-81,1092,161,116,1104,-9,2
93187,1456062,232,970,118,-454,796,353,194,942,38,0
10605,165718,90,1009,178,-290,944,90,407,1200,-1087,0
65003,1015687,232,1019,89,-145,972,141,174,1019,-9,1
95089,1485781,161,1039,158,-700,398,565,-349,876,407,0
35329,552031,-333,509,326,190,953,0,67,942,19,1
107274,1676171,292,1147,267,-245,962,414,97,942,67,1
8094,126484,70,1019,237,-345,916,111,-310,-228,-893,0
87679,1370000,272,1000,148,-581,435,656,-174,990,242,0
8887,138875,70,1029,188,-327,935,80,-291,-266,-1048,0
86776,1355890,262,990,158,-590,407,666,-174,971,242,0
16077,251218,101,1019,217,-263,953,80,58,1009,106,0
67516,1054953,292,990,118,-563,472,656,-174,971,203,1
62200,971890,212,1029,178,-236,972,232,106,990,-48,2
169807,2653250,50,29,-940,-90,0,-979,9,47,-980,0
152362,2380671,161,1019,207,-645,342,656,-184,914,398,0
134707,2104812,202,960,227,-136,870,232,29,990,58,1
138239,2160000,141,1039,237,-254,925,262,38,923,126,1
146731,2292687,212,1098,237,-709,425,656,-203,923,388,1
103742,1620984,50,1009,168,-236,962,90,87,1009,165,1
38486,601359,131,1049,168,-254,953,151,242,1028,87,2
107653,1682093,-494,78,435,500,1166,-20,155,1095,155,1
171820,2684703,-80,39,-950,-100,18,-989,-116,-57,-961,0
23444,366328,111,1019,207,-754,333,535,-252,980,58,0
17580,274703,20,1039,237,-827,351,404,-174,1000,-48,0
50011,781437,131,1009,178,-209,972,111,38,1009,29,0
129539,2024062,80,931,455,-554,231,787,-58,952,330,1
22748,355453,222,990,217,-763,379,494,-252,980,29,0
115626,1806671,303,941,356,-490,268,797,48,961,320,1
131232,2050515,323,941,277,-563,351,737,48,961,291,1
83091,1298312,262,1000,148,-581,425,686,-194,971,233,1
134071,2094875,60,1009,188,-200,962,90,97,990,252,1
122879,1920000,1050,1725,69,-9,768,242,-19,980,29,1
98692,1542078,111,1039,188,-681,351,616,-223,961,262,0
111390,1740484,111,1235,168,-472,990,363,223,838,77,1
71390,1115484,303,990,148,-572,462,686,-184,1000,242,1
15988,249828,40,1039,158,-327,925,20,48,1009,77,0
75596,1181203,323,980,128,-572,444,686,-184,990,233,1
549,8593,101,39,-980,-18,18,-979,38,0,-1009,0
121903,1904750,353,823,-79,145,879,80,174,857,19,2
146183,2284125,-60,1009,227,-681,388,616,-184,942,368,1
146524,2289453,262,1225,198,-727,416,676,-174,942,349,1
101030,1578609,-414,294,346,90,925,-20,77,1009,106,0
31388,490453,80,1058,247,-118,990,202,87,980,-29,1
19161,299406,80,1009,198,-827,361,373,-194,1000,9,0
47655,744625,242,1009,118,-727,407,515,-77,1019,155,1
125660,1963453,212,1049,158,-209,935,191,126,933,155,1
76039,1188125,323,1000,128,-572,453,656,-194,980,223,1
86482,1351296,252,1009,178,-590,416,686,-184,980,262,0
13009,203281,90,1029,168,-300,944,50,485,704,-427,0
37211,581437,50,1009,188,-218,944,90,19,1019,29,1
32197,503093,-686,1852,247,-1790,1379,101,145,1609,29,1
100024,1562890,212,1029,158,-245,944,161,87,990,87,0
145701,2276593,50,1029,227,-663,379,636,-184,933,378,1
145429,2272343,60,1029,198,-663,379,616,-184,923,368,1
22216,347140,-10,1039,267,-845,314,575,-271,961,48,0
22231,347375,-20,1019,207,-790,324,494,-271,980,48,0
153562,2399421,232,1068,188,-63,1055,212,233,1085,106,0
34590,540484,181,1794,287,-127,750,-313,-48,895,116,1
76352,1193015,323,980,128,-563,453,666,-194,971,252,1
17330,270796,20,1009,237,-827,351,383,-174,1000,-97,0
143065,2235406,-161,970,237,-645,370,595,-174,942,368,1
170331,2661437,50,29,-990,-100,9,-1000,-9,47,-970,0
15039,235000,40,1019,198,-327,925,101,38,1019,48,0
30181,471593,151,1049,267,-36,1046,232,77,885,-58,1
20615,322125,90,1019,188,-827,370,404,-203,1000,19,0
665,10406,60,-19,-1000,-18,18,-979,19,19,-1000,0
111654,1744609,151,1019,148,-118,1027,101,145,1028,87,1
158456,2475890,424,950,9,-536,592,595,-19,1009,135,1
106442,1663171,252,1166,178,-263,962,212,38,990,155,1
135328,2114515,80,1009,227,-190,972,101,126,1000,165,1
7164,111953,60,1019,188,-363,916,80,-320,-57,-932,0
70195,1096812,303,990,128,-572,453,656,-184,971,242,1
144853,2263343,50,1019,207,-663,379,616,-184,952,368,1
104927,1639500,232,1009,198,9,1064,90,67,1123,97,1
48855,763375,222,1000,89,-736,388,535,-77,1009,126,0
156615,2447125,191,1000,148,-145,981,101,135,1000,174,1
171342,2677234,-70,29,-960,-118,9,-959,-106,-66,-980,0
48917,764343,222,1000,99,-736,398,515,-67,1009,145,0
114997,1796843,282,941,356,-500,259,818,38,961,330,1
148613,2322093,353,960,128,-581,481,656,-174,933,378,0
47055,735250,-131,1107,-257,-109,1074,111,48,1000,48,1
32256,504015,121,1313,316,172,833,-212,48,866,116,1
165387,2584187,-20,303,-970,-90,203,-979,912,0,-475,0
164740,2574078,-151,-431,-1118,-163,-518,-1030,728,104,-563,0
101943,1592875,171,1029,148,-172,972,101,77,961,184,0
139330,2177046,202,1068,178,-181,962,232,233,942,116,2
91088,1423265,252,1000,168,-581,407,666,-184,980,223,0
141493,2210843,80,1029,158,-681,435,595,-262,904,368,1
51563,805687,80,1029,128,-227,953,70,58,1019,19,1
123329,1927031,212,1058,178,136,1000,121,126,904,-29,1
132526,2070734,323,950,277,-590,333,737,48,971,300,1
145966,2280734,-30,1009,227,-645,388,616,-184,942,359,1
157472,2460515,-101,1039,217,-700,296,606,-281,990,417,1
4002,62546,131,-235,-990,-227,37,-919,38,-9,-1000,0
147150,2299234,-60,1000,237,-663,388,606,-184,942,349,1
155937,2436531,191,1029,188,-200,925,242,155,895,155,1
73888,1154515,323,990,128,-563,453,676,-184,971,252,1
19533,305218,70,1019,207,-827,351,393,-203,1009,-9,0
138581,2165343,252,1029,108,-118,972,121,174,1009,77,1
95030,1484859,151,1039,148,-690,388,565,-330,876,359,0
7011,109562,141,950,158,-272,1018,-161,-339,-66,-951,0
24330,380171,141,1009,168,-727,351,565,-262,980,97,0
129210,2018921,70,950,435,-554,240,757,-67,952,349,1
62255,972750,262,1029,108,-227,953,171,126,1123,-38,2
152996,2390578,141,1000,138,-209,962,111,126,990,155,0
68,1078,70,29,-950,-9,18,-989,0,0,0,0
106010,1656421,141,1029,178,0,1083,121,145,1066,77,1
140779,2199687,101,1009,138,-681,425,575,-271,904,368,1
66650,1041421,292,970,128,-572,472,656,-106,980,155,1
108529,1695781,141,1009,227,-272,907,232,126,885,87,1
45055,704000,212,1029,158,-63,1083,171,174,1142,-58,2
19211,300187,70,1019,207,-836,351,373,-194,1000,29,0
20764,324453,90,1029,198,-827,361,393,-194,1000,-19,0
162336,2536515,212,1019,158,-636,453,616,-155,971,262,1
76187,1190437,323,980,128,-581,453,676,-184,980,233,1
57372,896453,141,1009,168,-236,953,131,87,1028,29,2
164515,2570562,-181,127,-861,-281,92,-888,320,923,-262,0
22285,348218,-30,1029,207,-809,305,484,-262,980,48,0
3593,56156,373,-156,-930,-72,-222,-1040,165,161,-980,0
143600,2243765,50,1000,207,-681,379,616,-184,933,359,1
74797,1168718,313,980,128,-572,462,666,-194,990,213,1
117815,1840875,90,1039,168,-218,962,111,77,1000,135,1
95961,1499406,313,990,89,-645,453,595,-252,952,300,0
10060,157203,111,1009,178,-281,935,70,-300,200,-883,0
54126,845734,151,1000,128,-227,944,131,97,971,-19,2
168224,2628515,-767,98,-594,-100,9,-979,9,57,-990,0
132621,2072218,444,931,99,-572,305,575,-87,1076,378,1
17163,268187,30,1009,237,-818,351,414,-174,1000,-87,0
6633,103656,40,1019,207,-400,898,70,-320,-28,-941,0
1840,28765,111,-9,-970,-27,-37,-939,9,19,-990,0
122320,1911265,4979,3166,-920,-2027,1351,626,145,1161,77,2
17086,266984,20,990,247,-836,342,404,-184,1000,-116,0
53019,828437,151,1049,138,-190,953,111,203,961,87,2
155081,2423156,242,1009,148,-136,972,151,184,1000,77,1
49827,778562,343,1049,19,-354,1000,323,77,1009,19,0
26090,407671,222,1098,-29,236,1157,-121,126,1352,97,0
52641,822531,20,1019,168,-345,907,131,67,961,-19,2
4983,77875,-70,950,346,-872,157,434,9,19,-980,0
83894,1310859,252,1009,168,-590,416,696,-184,971,242,1
25285,395093,464,813,475,354,1287,222,-19,1038,-155,0
14394,224921,60,1029,178,-290,935,70,58,1019,97,0
132729,2073906,131,1127,198,-500,805,393,271,895,48,1
152209,2378281,171,1019,207,-636,351,666,-194,914,407,0
157805,2465718,131,1176,336,-781,351,595,-165,952,310,1
72411,1131437,303,970,128,-572,453,676,-184,980,233,1
96684,1510703,303,980,148,-590,490,656,-184,1000,223,0
65097,1017156,303,686,128,200,925,-60,19,876,29,1
16439,256875,60,1029,178,-290,953,40,38,1009,87,0
42251,660187,202,1274,257,-263,925,232,38,961,-48,1
46519,726875,121,1098,148,-236,1074,202,310,1076,-29,1
117921,1842531,111,343,475,609,1037,-252,-9,1095,135,1
121360,1896265,-1151,833,356,-72,861,-222,-9,1133,252,1
118681,1854406,121,1029,178,-354,925,333,106,1095,106,1
31737,495906,-787,294,633,27,888,-60,145,1028,19,1
26295,410875,40,1019,178,-190,972,90,29,1009,58,0
117018,1828421,323,931,366,-490,259,828,38,980,310,1
153659,2400937,-949,156,534,200,972,10,126,1000,77,1
88348,1380453,272,1009,168,-572,407,696,-184,971,223,0
171326,2676984,-70,29,-970,-109,0,-979,-97,-76,-990,0
85179,1330937,262,1000,148,-600,425,666,-194,971,242,1
1039,16250,-474,421,-257,-27,9,-989,19,9,-980,0
171162,2674421,-40,9,-970,-109,18,-969,-106,-76,-970,0
77073,1204281,323,980,118,-572,472,656,-203,971,252,1
9274,144921,90,1009,188,-336,916,70,-466,-152,-854,0
103408,1615765,0,1029,188,-245,962,90,87,1000,106,1
13704,214140,60,1029,178,-281,935,90,38,1028,97,0
83391,1303000,272,1000,178,-590,435,676,-184,971,262,1
170912,2670515,-70,49,-950,-100,18,-959,-106,-76,-951,0
152669,2385468,444,941,-39,-427,833,525,77,1095,97,0
113550,1774234,292,941,346,-500,277,797,48,980,300,1
166154,2596171,60,254,-980,18,166,-1030,873,180,-368,0
72713,1136156,303,990,118,-572,453,676,-184,961,242,1
27264,426015,161,1264,178,-209,935,282,242,1047,77,1
29067,454187,282,1598,326,-409,1027,363,29,961,-106,1
170095,2657750,50,19,-960,-100,9,-989,0,38,-980,0
35586,556046,151,1029,287,-190,935,262,-38,857,87,1
51993,812406,90,1156,138,336,1101,181,165,971,29,1
156020,2437828,30,1617,39,-781,1101,545,242,1171,213,1
164009,2562656,272,225,-960,9,-194,-1040,77,990,165,0
160957,2514968,292,990,59,-609,527,565,106,1000,145,1
73423,1147250,303,980,158,-572,462,656,-194,971,223,1
31065,485406,-222,1215,-49,209,759,-191,-38,876,67,1
9185,143531,121,1019,217,-309,953,121,-475,-161,-834,0
4319,67500,-151,901,425,463,638,-606,9,19,-970,0
114790,1793609,313,941,366,-509,259,818,29,971,320,1
2645,41343,101,19,-970,-72,-101,-959,9,0,-980,0
32945,514781,606,2401,99,-381,842,646,-48,933,-19,1
83435,1303687,262,1000,168,-590,425,676,-194,980,271,1
159829,2497343,262,1009,99,-636,444,626,-203,933,359,1
5661,88468,-494,-892,702,-2254,1490,575,-9,19,-990,0
161537,2524031,646,1392,247,-100,851,161,-116,952,106,1
24291,379562,-484,-58,118,-909,268,595,-252,1000,106,0
48126,751984,242,1009,108,-727,407,525,-67,1000,165,0
149567,2337000,353,960,89,-572,472,646,-184,933,359,0
67397,1053093,303,980,128,-572,453,676,-174,971,223,1
2158,33734,90,19,-980,-145,-46,-969,19,9,-990,0
36141,564718,50,1029,198,-227,962,10,116,1028,38,1
78089,1220156,323,990,128,-581,453,676,-194,971,233,1
21385,334156,70,1019,217,-827,351,404,-194,990,0,0
61905,967281,262,1009,148,-118,962,101,126,1009,-19,2
147796,2309328,313,1000,108,-572,481,656,-77,1000,223,1
141521,2211281,90,1019,138,-672,416,606,-271,904,388,1
74455,1163375,313,990,138,-563,462,656,-184,980,213,1
92545,1446031,313,970,138,-563,416,666,-194,980,223,0
100958,1577484,-171,754,148,209,879,50,87,1019,77,0
134026,2094171,60,1019,188,-190,972,80,116,990,242,1
