,Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Label
0,3.89,23,4.18,0.6,2.508,2.5,0.2,0.5,6.68,5.0,0.2,1.0,3.38,0.2,0.6759999999999999,2,0.2,0.4,0,0.2,0.0,2.4,8.574,0.4,0.5,1.7148,1
1,3.89,6,0.0,0.2,0.0,4.83,0.2,0.966,4.83,5.0,0.2,1.0,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0.0,2.0,2.5540000000000003,0.4,0.5,0.5108,0
2,3.89,6,0.51,0.2,0.102,0.23,0.2,0.046,0.74,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.548,0.4,0.5,0.3096,0
3,3.89,6,0.0,0.2,0.0,10.8,0.6,6.48,10.8,6.0,0.6,3.6,11.75,0.6,7.05,2,0.2,0.4,0,0.2,0.0,4.4,17.53,0.4,0.5,3.5060000000000002,1
4,3.89,6,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.416,0.4,0.5,0.2832,0
5,3.89,6,0.0,0.2,0.0,0.83,0.2,0.166,0.83,5.0,0.2,1.0,2.95,0.2,0.59,2,0.2,0.4,0,0.2,0.0,2.0,2.156,0.4,0.5,0.4312,0
6,3.89,7,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5.0,0.2,1.0,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0.0,3.2,31.774,0.4,0.5,6.3548,1
7,3.89,8,8.5,0.6,5.1,12.03,0.6,7.218,20.53,5.5,0.4,2.2,7.79,0.4,3.116,2,0.2,0.4,0,0.2,0.0,4.2,18.034000000000002,0.4,0.5,3.6068,1
8,3.89,8,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,2.9360000000000004,2,0.2,0.4,0,0.2,0.0,4.2,17.206,0.4,0.5,3.4412,1
9,3.89,8,3.98,0.6,2.388,0.99,0.2,0.198,4.97,5.0,0.2,1.0,1.93,0.2,0.386,2,0.2,0.4,0,0.2,0.0,2.4,4.372,0.4,0.5,0.8744,0
10,3.89,8,5.43,0.6,3.258,10.77,0.6,6.462000000000001,16.2,5.0,0.2,1.0,4.42,0.2,0.884,2,0.2,0.4,0,0.2,0.0,3.6,12.004000000000001,0.4,0.5,2.4008,1
11,3.89,8,15.38,0.6,9.228,40.14,0.6,24.084,55.52,5.0,0.2,1.0,0.96,0.2,0.192,2,0.4,0.8,1,0.4,0.4,4.0,35.704,1.2,0.5,21.4224,1
12,3.89,8,5.47,0.6,3.282,7.63,0.4,3.052,13.1,5.0,0.2,1.0,10.43,0.6,6.257999999999999,2,0.2,0.4,1,0.4,0.4,3.6,14.392000000000001,0.8,0.5,5.7568,1
13,3.89,8,1.09,0.4,0.436,0.35,0.2,0.07,1.44,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.906,0.4,0.5,0.3812,0
14,3.89,8,0.0,0.2,0.0,0.84,0.2,0.168,0.84,5.0,0.2,1.0,0.006999999999999999,0.2,0.0014,2,0.2,0.4,0,0.2,0.0,2.0,1.5694,0.4,0.5,0.31388,0
15,3.89,13,1.95,0.4,0.78,9.01,0.4,3.6039999999999996,10.96,5.0,0.2,1.0,9.0,0.4,3.6,2,0.2,0.4,0,0.2,0.0,3.0,9.384,0.4,0.5,1.8768,1
16,3.89,37,8.54,0.6,5.124,31.63,0.6,18.977999999999998,40.17,5.0,0.2,1.0,41.28,0.6,24.768,2,0.2,0.4,1,0.4,0.4,4.2,50.67,0.8,0.5,20.268,1
