,intercolumnar distance,upper margin,lower margin ,exploitation ,row number,modular ratio,interlinear spacing ,weight ,peak number,modular ratio/ interlinear spacing,Label
5423,-0.128929,0.022808000000000002,0.19295,0.837775,0.261718,0.8962370000000001,-0.044076,-0.022231,0.687713,0.979191,0
2404,0.117948,-0.212727,0.23206999999999997,0.807221,-1.0789549999999999,0.688613,0.55993,1.3483020000000001,0.594169,0.43249,0
4586,-0.153617,-0.22843000000000002,0.48813100000000004,0.580183,0.261718,0.439463,0.597681,0.122744,-0.8401790000000001,0.172485,0
7727,-0.017834,0.23479,-0.180472,0.6210319999999999,0.261718,0.356414,0.937434,0.566114,-0.060641999999999995,-0.065483,5
9301,0.068573,-0.189174,-2.090261,-0.6335390000000001,0.17234000000000002,0.231839,1.050686,0.44666999999999996,0.562987,-0.236461,4
2209,0.37716900000000003,0.164129,0.139604,-0.241825,0.17234000000000002,-0.474083,-0.006326,-0.7249329999999999,-0.9649049999999999,-0.305802,0
8310,-0.301743,-0.055704,0.210732,-0.147477,0.261718,0.231839,0.408929,-0.646282,0.687713,0.112198,4
9185,0.13029200000000002,-0.212727,0.32453699999999996,0.386474,0.261718,0.190314,0.295677,0.06541,-0.5283640000000001,0.14142000000000002,5
9966,0.031541,-0.11851300000000001,0.37432600000000005,-0.066706,0.261718,-0.22493400000000002,0.106925,0.43738999999999995,0.344717,-0.13400399999999998,0
10363,-0.32643,0.09346900000000001,-3.210528,0.6684140000000001,-0.095795,1.643684,-0.232828,0.9600129999999999,1.903791,1.805365,10
6366,-0.030177999999999996,0.438921,-0.045329,0.766462,0.17234000000000002,-0.183409,-0.044076,-1.146752,-1.2767190000000002,-0.016189,0
933,0.389513,-0.220579,-3.210528,-2.624155,0.261718,-1.096956,0.182426,-1.256974,-0.466001,-0.9571290000000001,0
373,-0.042522000000000004,-0.17347100000000001,0.644613,0.089437,-0.989576,-1.802878,-0.006326,-0.583337,0.9995280000000001,-1.531037,11
3471,5.759087,-0.236281,0.37788299999999997,-2.104317,-1.79398,-1.470679,0.333428,-1.526129,-2.711067,-1.3737780000000002,0
7206,0.117948,0.321153,-3.210528,0.642753,0.351096,-0.515608,0.144676,1.333061,-0.278912,-0.425617,0
697,-0.8819040000000001,-1.9478389999999999,0.21784499999999998,2.046336,0.17234000000000002,2.058932,0.295677,0.9506549999999999,1.124254,1.8217,10
3596,0.043885,-0.17347100000000001,0.285416,-0.775121,0.17234000000000002,0.14879,0.408929,0.610847,0.438262,0.037721,5
1076,0.192011,-0.03215,0.452567,-0.877078,0.261718,0.14879,0.371178,-0.8840040000000001,-0.310094,0.05400800000000001,0
1176,-0.16596,-0.26768600000000004,0.256965,0.051662,0.261718,1.477585,0.182426,-1.09633,-0.247731,1.3604100000000001,0
1798,-3.498799,-0.063555,7.4586809999999995,0.129002,-4.9222150000000005,0.024215,0.6354310000000001,-0.009106,-0.029461,-0.200211,9
5512,0.31545,-0.989994,0.157386,-2.450289,0.17234000000000002,3.221628,0.7864329999999999,-1.475222,-1.463808,2.615879,10
378,-0.301743,0.171981,0.285416,0.684706,0.17234000000000002,1.9343580000000002,0.031425,1.271611,2.246787,1.908448,10
7072,-0.22768000000000002,0.289748,-0.006209,0.395814,0.261718,1.4360600000000001,0.710932,0.994243,0.718895,1.065313,0
8779,0.809204,-0.09496,0.11826500000000001,0.987502,0.976743,-0.432558,-1.2143389999999998,0.763297,1.560794,0.466233,8
5051,0.809204,-0.29123899999999997,0.036468,-0.399281,0.976743,-0.6401819999999999,-0.006326,-1.29231,0.812439,-0.462868,8
7797,2.105308,-0.07925700000000001,0.23918299999999998,-1.152363,-0.989576,-1.2630549999999998,0.295677,-0.9747319999999999,-0.278912,-1.177219,0
3177,0.10560399999999999,0.10132000000000001,0.24629600000000001,0.08707999999999999,0.261718,0.9377620000000001,0.333428,0.22514,0.251173,0.774205,0
10283,0.13029200000000002,-0.314793,0.41700299999999996,1.051058,0.08296100000000001,0.605563,0.446679,0.520352,0.62535,0.403353,0
3062,0.29076199999999996,0.156278,0.136047,1.401386,0.08296100000000001,0.730137,0.257927,1.397054,0.46944300000000005,0.623167,0
6762,-0.42518100000000003,-0.071406,0.424116,1.8632790000000001,0.17234000000000002,0.564038,0.748682,1.188145,2.1532419999999997,0.227505,10
4824,-0.33877399999999996,-0.29123899999999997,0.520139,1.054429,0.261718,0.273364,0.7864329999999999,0.506741,0.8748020000000001,-0.056091999999999996,4
6958,-0.042522000000000004,-0.29909,0.182281,1.151314,0.261718,1.103861,0.371178,-0.985876,-1.058449,0.878434,0
5101,0.068573,-0.26768600000000004,0.33165,-0.197963,-2.062114,0.605563,1.352689,-0.728137,-0.684271,-0.075307,0
7835,4.462983,-0.181323,0.306755,-2.963951,0.261718,-1.429155,0.182426,1.5239340000000001,-3.272334,-1.2721770000000001,5
1343,0.14263599999999999,0.43107,0.032912000000000004,-0.486796,0.261718,-0.9723809999999999,0.446679,-0.065683,0.095265,-0.986555,6
4515,-0.178304,0.258344,-0.12357,0.22830300000000003,0.08296100000000001,-0.01731,0.824183,0.547126,0.095265,-0.335675,5
3894,-0.00549,0.611647,0.022241999999999998,1.0121790000000002,0.261718,0.8962370000000001,0.295677,0.37627,-0.029461,0.762897,0
5974,0.15498,-0.448263,0.356544,-0.0038369999999999997,0.261718,0.024215,0.295677,-0.369728,0.001721,-0.022024000000000002,5
9187,-0.128929,0.21123699999999998,0.075589,0.526356,0.261718,1.186911,0.333428,-0.398405,-0.715453,1.002686,0
4666,0.266074,-0.134216,0.214288,-0.229323,0.261718,-0.889332,-0.34608,0.171185,-0.091823,-0.509895,5
8681,-0.22768000000000002,-0.11066199999999998,0.196506,1.060099,0.261718,-0.183409,0.52218,0.573491,1.03071,-0.33360100000000004,10
10298,0.327793,0.336855,-0.020434,1.086893,0.261718,0.522513,0.748682,1.01692,0.001721,0.16886900000000002,0
10161,0.31545,0.517433,-0.002652,-2.543473,0.261718,-0.681707,-0.308329,-0.24778000000000003,-1.1208120000000001,-0.341449,5
8321,0.47591999999999995,-0.338346,0.047137,-0.0009720000000000001,0.976743,-0.847807,-0.799085,0.505363,1.3737059999999999,-0.21224200000000001,8
4584,-0.116585,-0.338346,-3.210528,-0.8658290000000001,-1.168333,-7.450257000000001,10.714792,-2.166818,-5.4238550000000005,-6.719324,0
2215,-0.153617,9.65621,0.05425,0.56598,-1.0789549999999999,1.35301,0.257927,-0.311598,-0.091823,1.204887,5
2371,0.426544,0.588093,0.160942,-0.889699,0.261718,0.06573999999999999,0.408929,1.455048,-0.216549,-0.028980000000000002,5
8246,0.09326,0.2976,-0.013322,0.1091,0.261718,2.308081,0.371178,-1.412142,-0.933723,1.969652,0
3550,0.266074,0.258344,-3.210528,-0.405994,0.261718,0.273364,-0.119577,-0.151849,0.064084,0.462821,0
1256,-0.48690100000000003,-0.259834,-3.210528,0.221798,0.351096,0.231839,-0.081827,1.6491630000000002,1.623157,0.381485,4
2568,0.438888,0.289748,0.14315999999999998,-0.282494,0.261718,-0.598658,0.106925,0.08502,0.40708,-0.480541,0
3434,-0.042522000000000004,0.10132000000000001,0.288973,0.7221529999999999,0.261718,0.397939,-0.34608,0.6245930000000001,0.781258,0.7357130000000001,0
1926,0.117948,-0.220579,0.367214,0.914608,0.261718,0.688613,-0.044076,0.951412,0.500624,0.802547,0
1337,-0.00549,0.054213,0.32098000000000004,0.804804,0.17234000000000002,-0.515608,-0.270579,0.529419,1.124254,-0.204514,10
3560,-0.079554,-0.338346,0.40989,0.129748,0.17234000000000002,0.231839,0.371178,-0.26539,0.126447,0.123457,0
5219,0.13029200000000002,-0.157769,0.577041,-0.670986,0.17234000000000002,-0.9308559999999999,0.371178,0.38788,0.562987,-0.9137299999999999,2
2451,-3.461768,-0.20487600000000003,-3.210528,-3.4418370000000005,-3.045274,-1.055431,0.182426,1.7228450000000002,-2.586341,-0.938491,5
9722,-0.06721,-0.197025,0.299642,-1.66337,0.261718,1.768258,0.899684,-1.579464,-0.497183,1.151965,5
1183,-0.00549,-0.660245,0.345875,-0.27058899999999997,0.261718,0.730137,0.710932,-0.852434,-0.746634,0.371684,0
