,intercolumnar distance,upper margin,lower margin ,exploitation ,row number,modular ratio,interlinear spacing ,weight ,peak number,modular ratio/ interlinear spacing,Label
5916,0.661077,-0.09496,0.015130000000000001,0.751961,0.976743,-1.1384809999999999,-1.365341,0.300259,1.342524,-0.173593,8
2606,0.47591999999999995,-0.43256000000000006,0.11470899999999999,-0.8709600000000001,0.976743,-1.5952540000000002,-1.365341,-1.930591,-0.341275,-0.640645,8
7414,-0.375806,-0.275537,0.449011,0.55685,0.17234000000000002,0.314889,-0.232828,0.129694,0.095265,0.550547,3
4218,-0.00549,-0.20487600000000003,0.32098000000000004,-0.694588,0.261718,-0.557133,-0.157328,0.154158,-0.497183,-0.292517,5
6320,0.031541,-0.346197,-0.009765000000000001,1.029902,0.08296100000000001,-0.01731,0.182426,0.338779,-0.060641999999999995,-0.012969999999999999,0
464,0.809204,-0.09496,0.11826500000000001,0.987502,0.976743,-0.8062819999999999,-1.7805950000000001,0.198599,1.311343,0.45182700000000003,8
9874,0.46357600000000004,0.109171,0.22495700000000002,-1.411178,0.261718,0.522513,0.597681,-0.20943499999999998,-0.12300499999999999,0.252315,0
383,0.698109,-0.369751,0.185837,-0.92264,0.976743,0.439463,-0.799085,0.691654,0.9995280000000001,1.02447,8
5876,0.7721720000000001,0.030659,0.075589,0.371824,0.976743,-1.3045799999999999,-1.2143389999999998,-0.369632,0.126447,-0.420145,8
5134,0.10560399999999999,-0.126364,0.388552,-0.42506099999999997,0.261718,-0.723232,0.597681,-0.45177799999999996,0.126447,-0.8369989999999999,5
4517,0.29076199999999996,-0.26768600000000004,0.32453699999999996,-0.396177,-1.0789549999999999,-0.515608,0.069175,-0.803041,-0.746634,-0.385945,0
6662,-0.030177999999999996,0.30545100000000003,-3.203415,-0.130828,0.17234000000000002,0.9377620000000001,0.069175,0.21386,0.126447,0.9566479999999999,0
2458,-0.091897,-0.220579,0.27474699999999996,0.567174,-0.185173,-2.882524,-2.686605,0.647076,-1.900349,-3.724589,0
9207,-0.06721,-0.43256000000000006,-3.210528,-0.875108,0.17234000000000002,0.024215,0.52218,0.028151999999999996,0.438262,-0.136945,0
1147,4.524702,-0.134216,0.23206999999999997,-2.514351,-0.9001979999999999,-3.5053970000000003,0.069175,-0.536371,-0.902542,-3.124364,5
8653,0.080916,0.588093,0.015130000000000001,0.00225,0.261718,-0.515608,0.55993,0.42793400000000004,-0.216549,-0.636872,5
3474,-3.498799,0.48602799999999996,0.139604,-5.440122,-0.006417,-0.9308559999999999,-2.799857,-0.004855,-2.586341,-2.347941,0
1571,0.14263599999999999,0.48602799999999996,0.100483,-0.448543,0.17234000000000002,-0.349509,0.106925,0.059022000000000005,-0.12300499999999999,-0.258245,0
8418,-0.22768000000000002,-0.251983,0.449011,-1.2689110000000001,0.261718,2.266557,2.4097009999999996,-1.368981,-1.307901,0.7040930000000001,4
8207,-0.116585,-0.338346,0.584154,1.1438840000000001,0.797987,-0.9723809999999999,-1.365341,1.184922,1.186617,0.0050880000000000005,11
457,-0.116585,0.28189699999999995,0.17516800000000002,-0.15249000000000001,0.261718,0.647088,0.182426,-0.376718,0.40708,0.607386,4
5576,0.364825,-0.189174,0.5023569999999999,0.22329000000000002,-1.168333,1.228436,-0.044076,-0.748795,-0.715453,1.2845229999999999,5
3234,0.019197,-0.424709,0.33165,0.137655,-0.006417,0.813187,0.220177,-0.28478600000000004,-0.12300499999999999,0.728191,0
2750,-0.215336,-0.20487600000000003,0.456124,-0.099826,0.17234000000000002,-0.515608,0.069175,-0.90938,0.500624,-0.388368,4
4340,0.167323,0.588093,-0.002652,-0.309259,0.261718,0.9792860000000001,0.408929,0.8498700000000001,-0.310094,0.744273,5
436,0.25373,-0.338346,0.352988,-1.1542430000000001,0.17234000000000002,-0.9723809999999999,0.295677,-0.044170999999999995,-0.5283640000000001,-0.9088120000000001,5
10106,0.019197,-0.016447999999999997,0.32453699999999996,-0.20781,0.261718,0.024215,0.295677,-0.18035,0.843621,-0.014488999999999998,7
423,-0.26471100000000003,-0.275537,0.107596,0.827362,0.261718,0.190314,0.484429,1.088524,0.718895,0.026739,0
8612,0.4142,-0.471816,0.23918299999999998,1.018385,0.887365,-0.30798400000000004,-0.836835,1.401209,1.186617,0.344488,8
439,-3.498799,0.19553399999999999,0.22140100000000001,-0.25659499999999996,-4.9222150000000005,-0.10036,0.106925,1.016377,-1.900349,-0.025954,0
2329,-0.351118,-0.24413200000000002,0.594823,1.592678,0.797987,2.058932,-0.119577,-0.577454,0.064084,2.157267,10
754,-0.030177999999999996,0.022808000000000002,0.157386,-0.771451,0.261718,1.394535,-2.6488549999999997,-1.84427,-1.058449,-0.874503,7
94,0.204355,-0.126364,0.335206,0.483538,-1.257711,0.14879,0.220177,1.271786,-0.091823,0.130787,5
4524,-0.215336,-0.10281099999999999,0.360101,0.941284,0.17234000000000002,0.10726500000000001,0.295677,0.638475,0.656532,0.050825,4
6877,-0.48690100000000003,-0.259834,-3.210528,0.221798,0.351096,-0.183409,-0.232828,1.172943,1.155435,0.08142100000000001,4
1116,-0.363462,-0.008597,0.256965,-0.22634,0.261718,-0.391033,0.295677,1.102309,0.9995280000000001,-0.394106,4
8162,0.019197,-0.28338800000000003,0.214288,0.857677,0.261718,0.190314,0.295677,1.212666,0.62535,0.12706199999999998,0
10082,-0.116585,0.28189699999999995,0.335206,-0.518215,0.08296100000000001,-1.055431,0.333428,-1.321005,0.8748020000000001,-0.992715,3
6052,0.24138600000000002,0.23479,0.310311,-1.7109919999999998,0.261718,-1.678304,0.031425,-0.215687,0.095265,-1.4323780000000002,7
5662,0.21669899999999997,-0.424709,0.306755,-0.043282999999999995,0.261718,0.14879,0.031425,0.087757,-0.091823,0.254569,0
8582,0.13029200000000002,-0.46396499999999996,0.338762,0.26578,0.261718,0.273364,0.220177,0.123326,0.064084,0.254352,0
6389,0.056228999999999994,-0.087108,0.089814,1.312409,0.08296100000000001,4.052125,0.861934,-1.5317020000000001,-2.399252,3.2353330000000002,0
6146,-0.10424100000000001,-0.338346,0.384996,-0.096275,0.261718,0.190314,0.937434,-0.581046,0.251173,-0.206335,4
1087,0.327793,-0.142067,0.48101800000000006,-2.171392,0.261718,-0.391033,0.710932,-0.874316,-1.1208120000000001,-0.598259,0
6920,-3.461768,-0.20487600000000003,-3.210528,-3.4418370000000005,-3.045274,-1.055431,0.031425,2.0247740000000003,-2.586341,-0.859663,5
7918,0.15498,-0.38545300000000005,0.381439,0.314237,0.261718,-0.432558,0.333428,0.015182,0.064084,-0.448992,5
3906,0.09326,-0.10281099999999999,0.015130000000000001,-1.203774,0.08296100000000001,-0.681707,0.371178,-0.224346,-0.091823,-0.687721,0
4372,-0.00549,0.611647,0.022241999999999998,1.0121790000000002,0.261718,0.730137,0.484429,1.818155,0.251173,0.505473,0
8814,-0.202992,-0.338346,0.43478500000000003,-0.184417,0.08296100000000001,1.26996,-0.34608,-0.917884,-0.933723,1.504915,0
8647,-0.10424100000000001,-0.197025,0.22140100000000001,0.17367,0.261718,0.647088,0.371178,0.1946,0.032902,0.490994,5
4326,-0.215336,0.250492,0.47390600000000005,1.1870889999999998,0.17234000000000002,0.688613,0.031425,0.5380590000000001,2.589783,0.743537,10
7945,0.47591999999999995,-0.338346,0.047137,-0.0009720000000000001,0.976743,-0.515608,-1.516343,0.470104,1.155435,0.586109,8
6919,0.056228999999999994,-0.29123899999999997,0.23918299999999998,0.767954,0.17234000000000002,1.0208110000000001,1.2394379999999998,0.46946400000000005,0.095265,0.325344,0
7627,0.994361,-0.008597,-0.148465,0.8268840000000001,0.261718,0.024215,0.673182,0.688062,-0.310094,-0.22069299999999997,0
124,-0.33877399999999996,-0.22843000000000002,0.584154,2.123586,0.261718,0.356414,-1.403091,1.828309,2.277968,1.376033,10
9152,0.14263599999999999,0.48602799999999996,0.100483,-0.448543,0.17234000000000002,0.10726500000000001,0.069175,0.09692100000000001,0.46944300000000005,0.189146,0
1368,-0.054866,0.313302,0.05425,0.218427,0.261718,-0.30798400000000004,0.257927,-0.204484,-0.12300499999999999,-0.298134,0
775,-3.498799,-0.181323,6.260173,-0.238215,-4.9222150000000005,-0.058835000000000005,0.371178,-0.48876400000000003,-0.37245700000000004,-0.129604,9
3016,-0.030177999999999996,0.30545100000000003,-3.203415,-0.130828,0.17234000000000002,-0.10036,-0.081827,1.461999,0.531806,0.08656799999999999,0
4089,0.47591999999999995,-0.28338800000000003,0.107596,0.080127,0.976743,-0.847807,-1.2898399999999999,-0.208852,0.9371649999999999,0.081385,8
1298,0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.01731,-0.044076,0.14990499999999998,0.095265,0.13750199999999999,0
5283,-0.116585,-0.07925700000000001,0.381439,1.540879,0.17234000000000002,0.190314,0.031425,1.149721,1.9349720000000001,0.280451,10
2063,0.019197,0.525284,0.068476,0.166658,0.261718,-0.14188399999999998,0.333428,0.434846,0.40708,-0.18431,5
3924,0.17966700000000002,2.660806,0.096927,-1.474226,-0.006417,-0.6401819999999999,0.52218,-0.029318,-0.185368,-0.730576,6
5151,0.056228999999999994,0.124874,0.136047,0.14974,0.17234000000000002,0.854712,-0.157328,-0.7227779999999999,-0.341275,1.015296,0
6568,0.09326,0.148427,0.17161099999999999,0.9707040000000001,0.17234000000000002,0.522513,0.710932,1.030433,0.500624,0.196391,0
