,buying,maint,doors,persons,lug_boot,safety,Label
630,high,high,5more,4,small,low,unacc
1537,low,med,2,more,big,med,good
207,vhigh,high,5more,more,small,low,unacc
1236,med,low,3,more,med,low,unacc
1454,low,high,3,more,med,high,vgood
1051,med,high,4,more,big,med,acc
502,high,vhigh,4,4,big,med,unacc
118,vhigh,high,2,4,small,med,unacc
1496,low,high,5more,4,small,high,acc
679,high,med,3,2,med,med,unacc
82,vhigh,vhigh,5more,2,small,med,unacc
589,high,high,3,more,med,med,acc
743,high,med,5more,4,med,high,acc
1147,med,med,4,4,med,med,acc
1705,low,low,5more,2,med,med,unacc
394,vhigh,low,4,4,big,med,acc
272,vhigh,med,4,2,small,high,unacc
1335,low,vhigh,3,4,med,low,unacc
98,vhigh,vhigh,5more,4,big,high,unacc
522,high,vhigh,5more,4,small,low,unacc
1216,med,low,3,2,small,med,unacc
434,high,vhigh,2,2,small,high,unacc
404,vhigh,low,4,more,big,high,acc
1611,low,med,5more,more,small,low,unacc
574,high,high,3,2,big,med,unacc
1473,low,high,4,4,big,low,unacc
135,vhigh,high,3,2,small,low,unacc
1609,low,med,5more,4,big,med,good
1026,med,high,4,2,small,low,unacc
1621,low,low,2,2,small,med,unacc
901,med,vhigh,3,4,small,med,unacc
370,vhigh,low,3,more,small,med,unacc
1722,low,low,5more,more,med,low,unacc
420,vhigh,low,5more,4,big,low,unacc
524,high,vhigh,5more,4,small,high,unacc
1321,low,vhigh,2,more,big,med,acc
1138,med,med,4,2,med,med,unacc
1204,med,low,2,4,big,med,good
828,high,low,4,more,small,low,unacc
880,med,vhigh,2,4,big,med,acc
1251,med,low,4,4,small,low,unacc
1452,low,high,3,more,med,low,unacc
1004,med,high,3,2,med,high,unacc
540,high,high,2,2,small,low,unacc
1263,med,low,4,more,med,low,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
1529,low,med,2,4,big,high,vgood
1235,med,low,3,more,small,high,good
323,vhigh,med,5more,more,big,high,acc
764,high,low,2,2,big,high,unacc
837,high,low,5more,2,small,low,unacc
1016,med,high,3,4,big,high,acc
754,high,med,5more,more,big,med,acc
104,vhigh,vhigh,5more,more,med,high,unacc
873,med,vhigh,2,4,small,low,unacc
570,high,high,3,2,med,low,unacc
1692,low,low,4,more,small,low,unacc
331,vhigh,low,2,2,big,med,unacc
978,med,high,2,2,big,low,unacc
961,med,vhigh,5more,4,big,med,acc
