,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Label
427,b,37.5,0.835,u,g,e,v,0.04,f,f,0,f,g,120,5,-
458,b,36.17,5.5,u,g,i,bb,5.0,f,f,0,f,g,210,687,-
132,a,47.42,8.0,u,g,e,bb,6.5,t,t,6,f,g,375,51100,+
26,a,47,13.0,u,g,i,bb,5.165,t,t,9,t,g,0,0,+
373,b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,100,0,-
34,a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0,560,+
45,b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0,284,+
549,b,48.33,12.0,u,g,m,v,16.0,t,f,0,f,s,110,0,+
135,b,48.58,6.5,u,g,q,h,6.0,t,f,0,t,g,350,0,+
166,b,19.33,9.5,u,g,q,v,1.0,t,f,0,t,g,60,400,+
652,a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144,0,-
256,b,20,11.045,u,g,c,v,2.0,f,f,0,t,g,136,0,-
597,a,21.5,6.0,u,g,aa,v,2.5,t,t,3,f,g,80,918,+
50,a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491,0,+
94,b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,-
280,b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280,204,-
298,b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,80,21,-
30,b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0,+
514,b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0,0,+
313,a,18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,80,42,-
308,b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140,0,-
38,b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,260,500,+
402,a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,73,0,-
487,b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,120,475,-
508,a,30.67,12.0,u,g,c,v,2.0,t,t,1,f,g,220,19,+
535,a,33.92,1.585,y,p,ff,ff,0.0,t,f,0,f,g,320,0,-
352,b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,0,4000,-
24,a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145,0,+
248,?,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73,444,+
