,Atr1;Atr2;Atr3;Atr4;Atr5;Atr6;Atr7;Atr8;Atr9;Atr10;Atr11;Atr12;Atr13;Atr14;Atr15;Atr16;Atr17;Atr18;Atr19;Atr20;Atr21;Atr22;Atr23;Atr24;Atr25;Atr26;Atr27;Atr28;Atr29;Atr30;Atr31;Atr32;Atr33;Atr34;Atr35;Atr36;Atr37;Atr38;Atr39;Atr40;Atr41;Atr42;Atr43;Atr44;Atr45;Atr46;Atr47;Atr48;Atr49;Atr50;Atr51;Atr52;Atr53;Atr54;Class
0,2;2;4;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;1;2;0;1;2;1;3;3;2;1;1;2;3;2;1;3;3;3;2;3;2;1;1
1,4;4;4;4;4;0;0;4;4;4;4;3;4;0;4;4;4;4;3;2;1;1;0;2;2;1;2;0;1;1;0;4;2;3;0;2;3;4;2;4;2;2;3;4;2;2;2;3;4;4;4;4;2;2;1
2,2;2;2;2;1;3;2;1;1;2;3;4;2;3;3;3;3;3;3;2;1;0;1;2;2;2;2;2;3;2;3;3;1;1;1;1;2;1;3;3;3;3;2;3;2;3;2;3;1;1;1;2;2;2;1
3,3;2;3;2;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;4;1;1;1;1;2;1;1;1;1;3;2;3;2;2;1;1;3;3;4;4;2;2;3;2;3;2;2;3;3;3;3;2;2;2;1
4,2;2;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;2;1;1;0;0;0;0;2;1;2;1;1;1;1;1;1;0;0;0;0;2;1;0;2;3;0;2;2;1;2;3;2;2;2;1;0;1
5,0;0;1;0;0;2;0;0;0;1;0;2;1;0;2;0;2;1;0;1;0;0;0;0;2;2;0;0;0;0;4;1;1;1;1;1;1;2;0;2;2;1;2;3;0;2;2;1;2;1;1;1;2;0;1
6,3;3;3;2;1;3;4;3;2;2;2;2;2;3;2;3;3;3;3;2;3;3;3;3;2;3;3;2;2;2;1;2;2;1;1;2;3;2;2;3;3;3;3;4;3;3;2;3;2;3;3;2;2;2;1
7,2;1;2;2;2;1;0;3;3;2;4;3;2;3;4;3;2;3;2;1;2;1;1;2;3;3;2;2;2;3;1;1;0;2;2;1;4;4;4;4;4;4;3;2;0;0;1;2;2;2;1;1;1;0;1
8,2;2;1;0;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;2;3;2;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
9,1;1;1;1;1;2;0;2;2;2;3;0;0;2;1;0;1;2;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;2;2;1;2;3;2;2;2;0;2;2;2;2;4;3;3;1
