,20140101_N,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,class
5907,443.037,7478.3,7108.79,775.827,7471.95,7190.01,362.06699999999995,1744.37,409.334,7478.3,789.413,7292.33,235.62099999999998,2642.51,314.413,1012.19,460.836,2831.67,1047.01,6896.78,1555.32,373.556,5029.45,545.511,812.326,312.5,6753.64,599.931,forest
6764,1593.18,8238.8,7859.51,1325.34,1304.12,8238.8,1194.33,7959.85,974.2460000000001,7163.4,6628.01,1129.44,291.444,1225.55,571.429,1333.63,425.059,1540.61,1298.38,7913.07,3640.73,5442.67,1148.21,463.94,307.89099999999996,495.723,7372.57,708.7489999999999,forest
5224,463.42800000000005,7891.2,6948.96,6373.11,7891.2,7749.39,167.273,1969.61,1887.3,7283.55,635.461,484.913,310.47,1873.99,354.80800000000005,1090.94,609.86,1521.21,2397.61,1240.96,1784.77,2747.57,7000.75,367.282,7091.52,520.784,6074.68,423.726,forest
8667,2035.86,6752.09,2340.87,3419.45,2001.19,3263.98,531.235,6752.09,5373.98,5558.02,1253.6,3460.3,554.15,2497.92,427.923,1701.52,1214.39,1095.03,5203.62,5008.83,3635.95,3245.02,3376.05,1132.36,348.398,727.375,4657.1,380.665,farm
2757,798.053,7964.16,6025.18,7879.46,7773.02,7248.9,5578.51,7573.58,7217.38,4099.54,4346.39,7491.84,587.529,2061.1,7062.44,7964.16,7320.4,603.446,4516.9,7872.73,3607.99,595.786,1857.65,5061.92,945.3439999999999,7213.85,7540.36,1648.16,forest
8920,704.143,7385.94,7385.94,6369.14,7114.62,6979.23,353.33099999999996,7062.58,6218.2,1255.44,886.7410000000001,1655.5,326.46,2859.58,438.255,437.50300000000004,5152.84,792.938,2885.42,538.669,5018.61,5592.75,5724.36,418.824,2315.91,463.719,6000.0,503.776,farm
7335,7543.5,8309.52,7955.73,8088.84,530.236,7805.95,8046.5,8198.69,3595.86,8212.01,986.704,8309.52,8024.26,893.383,807.1,1268.65,290.001,4378.82,800.591,6917.69,7369.23,6639.29,3583.79,246.34599999999998,8085.56,757.165,7479.58,1750.0,forest
9126,439.902,6700.14,4380.41,2821.76,5291.96,5554.03,584.46,3883.53,504.60900000000004,1068.78,1834.47,650.106,3385.92,1131.6,1742.3,1436.95,575.456,2569.64,1480.04,2619.12,2418.23,4219.18,1560.76,714.23,6700.14,768.437,4809.74,3398.78,farm
3931,2098.4,8194.49,6743.11,5344.51,2616.77,8194.49,344.905,2111.03,5476.96,1418.79,522.883,7466.02,941.9010000000001,504.8,347.212,2035.33,4416.36,1861.43,5200.29,638.005,2453.99,1414.17,6981.86,1926.3,705.0260000000001,507.30300000000005,6961.02,562.033,forest
2562,1253.18,8094.44,6976.74,2873.6,6817.2,7528.39,5106.95,7469.97,1933.78,7440.61,7757.35,7081.53,1165.47,1161.53,951.2860000000001,8094.44,7342.24,446.376,1018.18,7997.62,3072.01,4817.76,205.512,1591.87,2231.0,5171.1,7691.39,1330.7,forest
2926,633.646,8095.24,5321.69,8095.24,763.461,7472.56,7466.36,6396.76,7158.65,7507.95,7431.58,7350.01,576.178,1870.56,2215.13,8000.57,7388.0,841.132,1931.98,8013.0,1131.14,2558.34,2580.12,6515.56,1324.27,7233.35,7334.5,4035.13,forest
6956,792.462,8174.06,8174.06,8145.08,4513.05,7942.33,7277.65,7058.82,4219.83,7546.36,1555.75,7982.54,2630.49,1202.78,1084.08,1240.15,318.904,4517.37,629.762,7337.69,6933.91,3997.96,6569.16,440.155,7825.46,634.863,7423.46,634.375,forest
5690,620.805,7835.04,7576.97,487.18300000000005,7835.04,7752.38,185.26,524.304,578.5409999999999,7179.92,629.649,340.958,271.16,4194.71,617.658,1024.61,356.26199999999994,1384.45,1961.96,431.81800000000004,1396.41,1303.57,5039.29,350.63199999999995,4030.59,464.52,6631.08,308.914,forest
9031,1336.69,7523.38,3769.73,6015.06,4229.03,5522.92,2068.61,7161.22,464.91900000000004,7523.38,5841.3,4063.05,938.1610000000001,5449.06,4847.4,385.54699999999997,762.173,1996.67,3184.31,6042.47,1361.44,4316.8,3102.8,2071.68,4603.7,884.8530000000001,4304.89,2591.56,farm
5060,411.154,8261.6,7717.69,1125.4,8261.6,8054.81,414.626,565.84,555.132,5176.1,1902.12,349.791,407.644,1062.98,283.943,1043.65,769.7919999999999,1442.28,1992.33,7611.83,3140.29,2098.94,1969.18,243.21,2694.69,308.04900000000004,7253.93,463.02,forest
924,2018.56,8479.27,7583.74,8183.51,8302.11,7837.47,7806.22,8091.07,4380.38,7665.47,7543.86,7955.93,2662.14,8479.27,7519.54,5747.71,3731.82,832.796,3429.38,8286.42,355.858,2649.06,6511.91,830.4889999999999,6027.88,5863.77,7948.54,7724.59,forest
4934,6557.28,8178.7,7999.5,886.8969999999999,5341.63,4778.14,6753.83,4362.06,4040.35,7786.93,8178.7,7996.77,5017.16,599.158,729.191,1530.62,544.715,4020.19,717.3639999999999,7206.39,6636.98,1681.93,1277.37,471.129,5531.0,1960.88,7032.1,728.934,forest
3173,2158.24,7894.97,7214.11,7116.92,6731.97,5423.04,2364.63,5062.52,886.1030000000001,5575.16,5843.26,5052.48,3120.76,5480.27,4547.92,7894.97,4962.21,513.4259999999999,2961.61,7013.12,4765.49,2799.64,546.9540000000001,2743.53,806.3969999999999,1463.78,4558.46,4847.09,forest
3941,1183.57,6701.36,4094.15,5760.1,6618.32,6306.14,404.087,1079.49,3292.36,845.439,1338.01,5913.93,3037.79,1372.21,400.899,2181.97,6701.36,1886.8,2619.77,4197.61,5402.91,3723.93,1205.33,2955.21,5155.74,237.885,5792.08,1798.65,forest
1801,413.94599999999997,7954.46,3457.87,4874.15,4816.92,4041.4,4103.91,4859.38,5089.45,5587.53,5772.94,3731.64,513.905,7401.33,5487.22,7954.46,7412.48,488.158,4274.85,5724.12,4294.91,3010.37,3491.6,920.613,790.255,4109.84,4257.27,3043.67,forest
1423,1398.2,7881.64,7324.53,7881.64,7650.45,5994.15,670.863,2226.09,5928.51,6995.68,7249.74,7276.94,842.04,7639.99,7119.62,4594.24,1642.31,472.361,3944.47,6751.96,6353.75,4105.66,2820.63,3923.53,1088.81,5714.48,6283.34,4378.79,forest
9228,1095.19,7361.28,1867.97,2813.17,2859.71,2449.89,1107.61,5381.17,6804.99,5579.88,6698.49,2979.03,1207.9,1943.09,329.89,970.659,103.67399999999999,1205.47,2178.11,2123.81,2183.6,2095.32,2422.83,2946.0,1099.64,480.344,7361.28,331.918,farm
9337,4108.55,7288.52,4998.41,4412.91,3051.92,4238.51,6725.57,7288.52,428.915,922.895,2671.82,2061.57,1265.42,6118.92,5918.23,1189.83,838.453,2157.5,5129.68,6953.25,745.279,3992.6,3890.21,466.88,1045.34,3036.87,4859.35,613.408,farm
1013,563.908,8159.13,2090.63,5525.39,7935.49,7571.84,3773.35,7582.36,5017.85,7416.91,7628.58,7386.39,1245.81,972.184,2669.06,8159.13,7165.08,548.229,1792.72,7734.85,554.004,4450.93,3572.75,1783.41,931.034,3362.82,7447.86,1397.43,forest
3573,7564.11,7724.19,5106.19,4085.83,5383.85,7319.21,446.964,5115.44,7095.07,1956.16,1090.97,7724.19,5489.27,2872.19,1292.57,898.5189999999999,827.842,1510.57,6257.62,2429.73,2246.07,801.967,5762.47,3617.63,6135.03,1291.64,7194.28,886.933,forest
7938,922.997,1379.91,1366.06,1379.91,411.167,930.7510000000001,785.8910000000001,1149.86,1045.7,425.033,1011.3,1091.94,368.29400000000004,837.185,971.883,479.722,407.80400000000003,1018.96,1176.62,1192.82,1378.3,1282.05,1129.34,339.19800000000004,342.16,339.75,1032.09,1218.56,impervious
2506,932.3839999999999,7925.15,7715.3,6398.82,7299.17,5882.39,5889.59,6273.91,596.3580000000001,7078.85,7298.04,7560.55,3608.02,6816.54,4812.1,6680.19,643.065,622.993,2566.46,7925.15,1122.65,2228.41,50.7615,5595.76,960.703,4439.74,6860.3,7436.53,forest
6632,749.947,8044.6,7571.8,6365.85,1109.33,7537.8,690.88,7691.47,3309.35,8022.52,8044.6,7952.01,4605.93,2335.4,1051.44,921.8839999999999,435.541,3150.46,775.3710000000001,7267.24,6668.16,6278.97,2224.38,540.689,7794.29,7091.44,7519.58,5652.85,forest
1185,598.053,8113.05,2149.02,7846.33,939.544,6687.01,6726.55,6753.04,6891.94,7417.91,7469.07,7492.56,580.116,2649.5,2391.84,8113.05,7470.29,819.753,2973.72,7853.22,1367.05,2463.21,3156.7,6477.81,1259.91,7071.01,7347.38,6118.84,forest
1391,2385.74,8202.92,7555.41,7612.65,8049.03,7422.11,7453.97,7754.22,632.322,7972.64,8080.26,7312.94,6478.64,8202.92,1130.34,5095.49,634.674,634.816,3079.31,8075.4,6332.64,2411.95,380.755,3196.19,737.15,2877.55,7743.56,7813.79,forest
7783,386.681,2193.94,1769.97,1749.56,1967.89,1849.91,1630.4,1958.38,1438.2,1831.18,1665.45,2001.84,410.19,2048.98,2002.29,2148.61,1892.46,470.171,991.0089999999999,2193.94,2129.83,1922.23,1716.76,443.152,495.775,631.14,1588.67,1956.52,impervious
519,510.836,8022.03,7705.5,4200.23,3697.59,1473.07,560.67,7628.06,1045.62,7679.97,3032.13,6528.74,461.814,1263.29,553.411,2013.44,2230.82,2072.56,6355.41,1427.27,6098.23,8022.03,3092.14,2273.87,195.581,275.566,7971.54,882.826,forest
3846,1495.27,8172.79,4664.81,3004.02,917.8760000000001,8172.79,317.144,7095.57,5659.98,1500.25,568.134,6585.5,1042.08,445.811,385.51099999999997,1925.36,2005.27,2048.19,4515.56,659.186,2461.71,1094.39,6921.27,2326.41,532.521,576.714,7304.1,564.241,forest
1088,516.316,8059.2,7336.78,8012.83,7992.26,5337.27,7537.95,7965.06,927.6189999999999,8059.2,7750.75,7884.99,4269.27,6819.97,1351.35,3986.42,744.6110000000001,949.467,3712.3,2151.75,678.432,3405.31,1056.47,6895.83,1373.85,1008.91,7776.26,7511.94,forest
356,1142.82,6401.71,4933.88,2201.71,354.227,761.172,315.154,1743.23,992.779,557.16,1349.27,2221.43,338.49800000000005,575.14,382.292,673.34,291.60900000000004,2248.65,1354.95,1620.23,1199.56,1716.82,1143.47,1097.61,440.838,344.63300000000004,6401.71,1081.83,forest
7184,8282.73,8298.03,7737.96,6691.09,1044.03,7995.04,7754.56,7753.1,7541.35,4185.32,3739.18,8298.03,6192.71,516.711,1128.35,1206.44,216.233,4265.37,603.203,4856.25,6896.96,1925.34,2496.33,397.48699999999997,3035.48,563.499,7610.57,556.72,forest
2398,4074.21,8132.58,5650.24,8132.58,5813.44,6976.33,6662.52,4772.03,4733.18,7537.44,7619.22,4259.38,2054.14,6178.91,5629.16,8059.82,946.569,408.332,3739.72,7822.07,2506.46,3228.96,536.614,2839.11,5191.59,2288.19,7186.34,6581.7,forest
1547,778.1439999999999,8286.85,7491.77,8267.8,8286.85,5636.74,1717.33,7725.03,1835.63,3803.38,7658.38,7174.33,882.512,474.691,2151.58,7892.51,6772.56,548.183,5529.34,7799.23,5628.82,4091.69,3217.77,5425.19,1501.88,779.202,7251.69,1759.0,forest
1244,738.568,7849.55,5242.39,6493.8,2306.24,2074.1,5454.21,4454.71,4433.91,7121.79,7152.53,6340.55,549.26,955.9939999999999,6035.41,7655.65,6933.01,526.626,4986.53,7849.55,6534.9,2770.89,4697.0,3263.64,870.2810000000001,3378.81,6789.53,933.9119999999999,forest
836,2590.43,8316.15,7986.88,8206.46,8316.15,7750.87,7706.04,7957.6,1982.37,7721.24,7793.75,7819.7,3154.68,8235.14,6738.54,6400.38,3447.75,898.998,3845.56,8218.66,423.608,2501.26,6168.34,8078.08,961.421,4193.83,7622.49,7663.53,forest
1669,561.649,8090.5,5882.53,5648.29,4681.35,8023.55,3962.34,7696.21,1721.71,7659.72,6800.58,7088.79,2014.47,5429.83,2926.74,7504.91,2521.03,532.93,4319.43,8090.5,884.63,3199.37,2263.98,2777.47,586.344,1774.53,7265.17,2297.35,forest
20,-1120.99,3505.66,1171.08,-111.49700000000001,593.22,-821.686,-463.782,-77.5706,-257.642,2090.3,3087.23,-2929.52,-133.333,3505.66,2133.53,794.7760000000001,839.6289999999999,1988.15,2669.13,528.727,720.427,2459.42,2932.46,1553.33,968.962,578.1,662.5310000000001,2753.88,water
7263,661.7280000000001,8265.74,7511.13,672.133,8265.74,8254.69,420.973,5522.99,5551.04,6827.87,549.627,1946.0,4250.16,1159.83,434.211,786.8430000000001,465.74800000000005,1166.49,1440.11,4878.39,7131.55,1276.57,3480.91,280.22700000000003,1582.97,453.434,6970.66,538.02,forest
842,3589.74,7998.97,7892.66,7441.26,4759.66,6485.08,6653.98,6823.17,3930.74,4223.75,5552.37,7320.35,7018.74,6086.96,6752.96,5044.12,7068.95,1314.22,1788.53,7998.97,384.15,2397.01,937.4110000000001,6000.37,6514.16,6244.89,5529.62,4533.64,forest
9202,2234.61,6447.85,5848.28,4558.82,448.348,3402.32,3154.41,6447.85,5415.54,5707.61,3959.37,1921.5,2501.66,2276.48,1267.48,1755.66,785.2280000000001,935.882,5182.9,4051.06,3283.12,3454.53,3484.63,1793.42,1113.02,328.30199999999996,3954.08,399.724,farm
8756,3679.06,8072.24,7252.51,2322.03,1310.62,3761.75,2993.81,5092.95,7060.76,8072.24,1329.96,7558.01,945.957,1423.07,3423.88,1778.98,230.74,1335.39,5330.81,4245.68,2071.35,1488.45,3983.29,1213.38,3606.04,1226.59,7758.93,505.273,farm
1242,774.877,7999.81,7642.83,7999.81,1811.33,5848.98,5500.41,5282.37,6778.01,7559.37,7783.09,7954.94,898.305,696.177,6968.36,7038.15,4851.43,554.414,5262.9,6413.07,6525.92,4612.75,4268.36,1231.23,842.0419999999999,7216.91,7496.66,4711.95,forest
8502,2963.08,7316.75,5945.28,5573.77,3975.07,3697.08,3376.7,6789.16,5576.08,7316.75,1740.59,2638.48,2332.8,3387.69,400.94599999999997,3258.11,5668.5,858.85,2838.09,5078.88,621.178,3571.69,2188.22,2523.27,2839.07,324.948,6156.94,1752.45,farm
2951,898.5210000000001,8156.05,1287.5,7734.26,1023.42,1395.8,2369.56,7307.24,7216.08,7801.4,7767.97,6034.56,836.88,1288.85,1200.0,7444.42,7587.34,430.98,2568.45,8156.05,6208.23,4618.3,1469.82,4850.87,1164.93,606.789,7689.58,752.0889999999999,forest
6674,494.395,8238.43,7857.32,7755.83,2461.99,8238.43,437.98800000000006,391.80699999999996,669.403,1451.91,5457.5,629.451,387.798,2463.32,314.851,1037.65,560.116,1708.57,1636.08,7843.33,704.0110000000001,1120.39,2096.44,284.835,1610.23,302.791,7239.64,484.603,forest
