,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Label
26,4,6,1500,14,0
390,11,4,1000,58,0
644,14,2,500,14,1
248,11,2,500,11,0
264,4,5,1250,58,0
303,2,3,750,52,0
358,9,2,500,26,0
605,4,11,2750,95,0
322,11,4,1000,34,0
162,2,1,250,2,0
570,2,6,1500,47,0
235,8,10,2500,63,0
128,4,8,2000,48,1
619,4,1,250,4,0
291,16,12,3000,50,0
299,14,2,500,14,0
249,11,2,500,11,0
438,23,14,3500,93,0
200,4,6,1500,52,0
526,2,5,1250,16,1
441,11,3,750,76,0
456,21,1,250,21,0
144,4,2,500,9,1
16,2,14,3500,48,1
342,11,6,1500,58,0
351,11,2,500,21,0
545,4,2,500,4,1
265,4,4,1000,43,1
568,4,6,1500,35,1
481,23,1,250,23,0
279,11,8,2000,48,0
589,2,1,250,2,0
580,2,1,250,2,0
626,9,9,2250,54,0
239,8,9,2250,58,0
214,4,1,250,4,0
691,14,1,250,14,0
246,11,12,3000,58,0
77,2,2,500,4,0
103,2,5,1250,26,0
578,11,5,1250,18,0
320,15,16,4000,82,0
413,16,4,1000,45,0
253,11,3,750,16,1
720,21,3,750,38,0
232,4,1,250,4,0
395,16,10,2500,89,0
165,2,1,250,2,1
506,3,21,5250,42,1
203,4,7,1750,58,0
367,14,4,1000,38,0
61,2,8,2000,35,1
141,5,14,3500,86,0
127,2,4,1000,26,0
416,16,1,250,16,0
301,14,2,500,14,0
71,2,4,1000,16,0
638,11,4,1000,27,0
244,9,2,500,11,0
650,9,1,250,9,0
94,12,11,2750,23,0
527,2,15,3750,64,0
327,14,16,4000,98,0
730,21,2,500,33,0
182,2,4,1000,35,0
29,4,8,2000,21,0
633,12,15,3750,71,0
681,4,2,500,46,0
679,14,3,750,28,0
488,21,2,500,41,0
118,1,7,1750,57,0
384,14,1,250,14,0
158,2,1,250,2,0
593,9,11,2750,49,1
598,2,3,750,24,0
126,4,8,2000,46,1
712,14,2,500,35,1
599,12,11,2750,39,0
347,11,1,250,11,0
261,11,14,3500,73,1
688,14,3,750,33,0
665,11,1,250,11,0
76,2,4,1000,16,1
130,4,5,1250,28,0
657,14,8,2000,50,0
337,11,7,1750,64,0
454,21,1,250,21,0
57,2,7,1750,28,1
381,14,1,250,14,0
653,4,2,500,30,0
478,23,1,250,23,0
7,1,12,3000,35,0
532,4,8,2000,28,0
186,4,5,1250,34,0
658,11,3,750,26,0
664,11,1,250,11,0
492,23,4,1000,87,0
349,11,1,250,11,0
86,4,2,500,4,0
364,11,6,1500,71,0
631,2,2,500,22,0
718,21,3,750,35,0
535,4,5,1250,16,1
310,11,5,1250,38,0
548,2,12,3000,70,1
355,4,2,500,41,0
574,2,2,500,11,1
446,23,2,500,26,0
268,4,7,1750,82,0
92,4,2,500,4,0
725,21,1,250,21,0
553,2,3,750,14,0
468,22,1,250,22,1
564,4,14,3500,86,0
102,4,9,2250,40,0
673,16,14,3500,83,0
583,2,1,250,2,0
690,14,1,250,14,0
74,2,2,500,4,1
169,2,1,250,2,0
473,14,3,750,83,0
12,2,10,2500,28,1
307,11,3,750,23,0
81,2,4,1000,16,0
278,14,18,4500,78,0
305,11,5,1250,37,1
297,14,2,500,14,0
110,4,5,1250,23,1
212,4,1,250,4,0
420,21,2,500,23,0
411,16,1,250,16,0
499,74,1,250,74,0
410,16,1,250,16,0
646,14,2,500,14,0
234,14,7,1750,26,0
304,14,6,1500,34,0
262,2,2,500,23,0
463,21,1,250,21,0
124,2,4,1000,26,0
346,11,1,250,11,0
496,38,1,250,38,0
208,11,6,1500,27,0
616,4,1,250,4,0
309,16,3,750,19,0
359,21,16,4000,64,0
423,21,2,500,23,0
555,4,4,1000,18,0
722,21,3,750,40,0
683,11,3,750,37,0
155,2,1,250,2,0
701,16,1,250,16,0
491,21,3,750,70,0
160,2,1,250,2,0
290,14,4,1000,23,1
406,16,1,250,16,0
370,4,2,500,51,1
43,2,5,1250,16,0
8,2,9,2250,22,1
27,4,12,3000,34,1
612,4,1,250,4,1
375,11,3,750,40,1
393,11,4,1000,61,0
486,21,6,1500,86,0
148,2,2,500,11,1
348,11,1,250,11,0
676,14,3,750,26,0
705,16,1,250,16,0
434,14,2,500,35,0
89,2,7,1750,35,1
724,21,1,250,21,0
628,2,5,1250,63,0
742,16,3,750,86,0
525,2,4,1000,11,0
51,2,11,2750,46,1
