No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Aotizhongxin,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
7359,2014,1,1,14,57.0,13.0,10.0,500,61.0,12.6,1008.4,-11.1,0.0,2.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0
28815,2016,6,13,14,33.0,2.0,22.0,500,84.0,19.8,999.3,17.8,0.0,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.0
1628,2013,5,7,19,190.0,76.0,40.0,1600,234.0,25.8,1007.7,13.3,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179.0
15690,2014,12,14,17,184.0,58.0,101.0,1700,2.0,3.4,1033.0,-15.3,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.0
21368,2015,8,8,7,45.0,2.0,66.0,800,15.0,20.6,1009.9,18.9,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.0
14356,2014,10,20,3,159.0,3.0,67.0,800,2.0,13.8,1009.8,13.8,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,159.0
13519,2014,9,15,6,18.0,3.0,50.0,200,2.0,14.2,1014.8,10.0,0.0,1.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0
14571,2014,10,29,2,212.0,13.0,112.0,1500,2.0,8.0,1018.8,6.1,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
32070,2016,10,27,5,32.0,3.0,38.0,300,21.0,9.55,1024.0,1.2,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.0
31223,2016,9,21,22,84.0,7.0,83.0,900,26.0,19.775,1014.5,14.4,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84.0
33228,2016,12,14,11,23.0,9.0,31.0,600,47.0,0.5,1031.7,-18.3,0.0,1.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0
13542,2014,9,16,5,65.0,3.0,67.0,300,2.0,13.1,1012.5,9.9,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
5319,2013,10,8,14,79.0,52.0,37.0,1000,68.0,21.6,1011.5,9.8,0.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.0
32728,2016,11,23,15,24.0,5.0,12.0,300,64.0,3.4,1028.0,-18.7,0.0,4.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0
754,2013,4,1,9,93.0,21.0,17.0,400,58.0,11.9,1010.0,-2.7,0.0,4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.0
3667,2013,7,31,18,140.0,8.0,37.0,900,202.0,28.8,992.7,26.4,1.8,0.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102.0
25486,2016,1,26,21,108.0,28.0,30.0,1900,9.0,-3.6,1024.2,-19.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.0
