No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Tiantan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
3648,2013,7,30,23,137.0,9.0,30.0,800,147.0,21.7,997.6,20.3,6.7,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95.0
27260,2016,4,9,19,338.0,10.0,27.0,500,98.0,14.0,1006.8,-3.8,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72.0
6749,2013,12,7,4,267.0,5.0,81.0,5600,6.0,-3.1,1015.9,-4.8,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.0
31164,2016,9,19,11,12.0,2.0,31.0,400,47.0,21.9,1019.3,9.8,0.0,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
11507,2014,6,23,10,19.0,2.0,36.0,500,60.0,27.4,1004.8,14.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0
10563,2014,5,15,2,71.0,2.0,62.0,500,3.0,12.1,996.6,4.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32.0
8067,2014,1,31,2,370.0,73.0,48.0,1500,11.0,-2.0,1016.8,-6.7,0.0,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.0
5183,2013,10,2,22,87.0,5.0,79.0,500,14.0,16.7,1014.1,4.7,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0
7095,2013,12,21,14,33.0,35.0,55.0,700,38.0,3.6,1029.2,-17.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.0
3132,2013,7,9,11,29.0,3.0,45.0,1399,64.0,25.1,999.5,23.9,0.7,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.0
29299,2016,7,3,18,151.0,3.0,31.0,1100,80.0,29.7,1001.1,19.1,0.0,2.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.0
14741,2014,11,5,4,169.0,2.0,68.0,2800,2.0,3.0,1009.0,1.0,0.0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.0
16666,2015,1,24,9,162.0,43.0,70.0,1800,13.0,1.0,1021.0,-6.8,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121.0
26429,2016,3,6,4,86.0,4.0,63.0,1100,2.0,1.2,1015.4,-9.4,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
10314,2014,5,4,17,46.0,2.0,25.0,200,79.0,16.7,1013.1,-11.9,0.0,4.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0
