No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Wanliu,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
27628,2016,4,25,3,78.0,10.0,38.0,400,80.0,18.2,1003.6,10.6,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0
20543,2015,7,4,22,51.0,2.0,69.0,1000,8.0,18.2,1004.6,17.2,0.0,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0
15032,2014,11,17,7,50.0,10.0,62.0,1200,2.0,-1.7,1021.0,-3.6,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
4499,2013,9,4,10,60.0,4.8552,78.4246,1200,9.0,20.8,1011.7,18.7,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.0
4487,2013,9,3,22,138.0,20.5632,42.2918,900,123.0,24.1,1010.7,18.7,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110.0
5753,2013,10,26,16,83.0,15.0,67.9543,600,48.0,15.0,1013.8,-0.4,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.0
21035,2015,7,25,10,94.0,3.0,28.0,1000,118.0,27.9,995.9,20.2,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81.0
21624,2015,8,18,23,45.0,2.0,44.0,700,72.0,22.4,1004.7,18.2,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.0
8551,2014,2,20,6,180.0,36.0,120.0,3100,2.0,-2.4,1024.9,-4.6,0.0,0.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,167.0
8364,2014,2,12,11,29.0,80.0,87.0,1600,19.0,2.4,1027.6,-15.2,0.0,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0
26917,2016,3,26,12,42.0,6.0,16.0,300,86.0,16.7,1019.5,-11.0,0.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0
20812,2015,7,16,3,59.0,2.0,16.0,700,91.0,21.1,1001.7,19.9,5.6,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.0
30559,2016,8,25,6,7.0,2.0,8.0,300,83.0,27.2,1001.8,14.2,0.0,2.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
16052,2014,12,29,19,200.0,37.0,119.0,2400,2.0,1.7,1025.0,-9.9,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76.0
34399,2017,2,1,6,14.0,9.0,22.0,600,63.0,-3.0,1032.2,-22.3,0.0,2.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
23614,2015,11,9,21,120.0,3.0,59.0,1200,3.0,5.9,1023.4,2.9,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120.0
22113,2015,9,8,8,74.0,2.0,47.0,900,10.0,20.3,1009.9,16.5,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49.0
34990,2017,2,25,21,38.0,9.0,38.0,500,59.0,7.7,1017.6,-9.3,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0
16031,2014,12,28,22,408.0,108.0,148.0,4100,2.0,-0.3,1027.0,-7.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,215.0
24295,2015,12,8,6,286.0,39.0,102.0,6800,7.0,-0.8,1025.6,-1.6,0.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,286.0
34001,2017,1,15,16,81.0,25.0,47.0,700,41.0,-0.8,1026.25,-9.2,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72.0
21637,2015,8,19,12,48.0,2.0,17.0,700,136.0,27.3,1005.7,18.6,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.0
25074,2016,1,9,17,102.0,26.0,97.0,2000,4.0,2.0,1017.9,-15.5,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0
30415,2016,8,19,6,17.0,2.0,48.0,1200,2.0,22.3,999.1,21.6,0.0,0.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
21020,2015,7,24,19,91.0,2.0,44.0,900,169.0,29.6,994.4,20.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62.0
22825,2015,10,8,0,12.0,2.0,21.0,200,40.0,17.4,1013.4,-5.2,0.0,1.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
10577,2014,5,15,16,400.0,8.0,45.0,400,90.0,27.7,991.9,7.0,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,109.0
33041,2016,12,6,16,166.0,23.0,117.0,1800,9.0,6.1,1012.3,-13.5,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.0
25748,2016,2,6,19,55.0,20.0,59.0,800,39.0,-0.7,1020.8,-16.6,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0
34559,2017,2,7,22,129.0,13.0,92.0,2300,59.0,-2.8,1024.6,-7.1,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117.0
30489,2016,8,22,8,114.0,2.0,68.0,1400,15.0,26.4,1007.3,22.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91.0
2073,2013,5,26,8,132.0,80.0,63.0,1800,15.0,22.5,1003.1,17.8,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115.0
13653,2014,9,20,20,204.0,12.0,99.0,1300,82.0,20.4,1005.9,18.9,0.0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151.0
32787,2016,11,26,2,251.0,24.0,120.0,4600,5.0,-0.7,1017.5,-6.7,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,201.0
2394,2013,6,8,17,259.0,14.0,68.0,3399,2.0,20.0,1001.1,19.7,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,273.0
23764,2015,11,16,3,37.0,3.0,32.0,800,7.0,5.9,1016.7,5.0,0.3,0.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.0
3137,2013,7,9,16,33.0,2.5704,40.8547,500,45.0,23.2,997.7,22.5,0.8,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.0
27344,2016,4,13,7,146.0,5.0,96.0,1200,2.0,9.1,999.1,7.5,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129.0
22503,2015,9,24,14,221.0,11.0,61.0,1900,79.0,24.9,1002.5,18.1,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,221.0
2563,2013,6,15,18,183.0,45.1248,73.2921,1800,242.0,28.2,999.9,18.9,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,168.0
5823,2013,10,29,14,6.0,11.0,16.0134,300,56.0,17.4,1020.8,-2.9,0.0,2.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
16415,2015,1,13,22,172.0,46.0,111.0,2900,2.0,-2.6,1025.8,-8.3,0.0,1.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0
21538,2015,8,15,9,56.0,8.0,36.0,800,53.0,28.6,1001.0,14.8,0.0,2.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.0
18966,2015,4,30,5,126.0,9.0,61.0,1100,30.0,15.8,1005.7,14.7,0.0,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126.0
13886,2014,9,30,13,32.0,9.0,40.0,500,26.0,15.7,1018.7,2.5,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.0
25572,2016,1,30,11,48.0,23.0,50.0,600,26.0,-5.3,1031.4,-20.6,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
820,2013,4,4,3,43.0,40.0,53.0,1500,72.0,8.5,1009.7,-2.5,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46.0
26039,2016,2,18,22,42.0,20.0,54.0,600,36.0,5.1,1018.6,-14.9,0.0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
2681,2013,6,20,16,54.0,16.5648,79.4511,1500,64.0,26.6,1002.4,20.7,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.0
11394,2014,6,18,17,90.0,7.0,32.0,700,189.0,28.4,994.7,19.3,0.0,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.0
14465,2014,10,24,16,341.0,27.0,133.0,2000,64.0,16.2,1003.9,13.1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,284.0
19276,2015,5,13,3,105.0,2.0,110.0,1000,2.0,11.6,988.4,10.0,0.0,0.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
9188,2014,3,18,19,162.0,14.0,59.0,600,75.0,10.4,1015.5,-4.4,0.0,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.0
