No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Wanshouxigong,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
8257,2014,2,8,0,89.0,30.0,57.0,1700,10.0,-3.0,1018.0,-4.6,0.2,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.0
16599,2015,1,21,14,9.0,10.0,12.0,400,72.0,6.0,1018.0,-17.3,0.0,3.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
3728,2013,8,3,7,35.0,3.0,77.0,600,48.0,27.1,997.7,17.3,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0
32130,2016,10,29,17,59.0,6.0,31.0,400,44.0,11.2,1023.3,-5.8,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0
24242,2015,12,6,1,118.0,33.0,69.0,3100,6.0,0.6,1026.6,-4.8,0.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103.0
32603,2016,11,18,10,301.0,31.0,92.0,4400,2.0,7.3,1011.5,2.8,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177.0
33677,2017,1,2,4,325.0,4.0,123.0,5600,5.0,-6.1,1021.3,-7.8,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,325.0
13939,2014,10,2,18,51.0,2.0,63.0,900,39.0,16.0,1007.3,12.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0
31620,2016,10,8,11,7.0,2.0,15.0,400,49.0,13.6,1019.6,-1.2,0.0,4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
10887,2014,5,28,14,116.0,13.0,23.0,600,204.0,36.0,991.6,5.3,0.0,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.0
22626,2015,9,29,17,27.0,2.0,46.0,900,16.0,14.6,1024.9,13.5,0.5,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
17287,2015,2,19,6,363.0,68.0,63.0,1600,17.0,1.0,1024.0,-10.5,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,284.0
23073,2015,10,18,8,18.0,2.0,35.0,400,27.0,15.7,1022.4,5.0,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
19140,2015,5,7,11,134.0,8.0,57.0,700,75.0,21.0,1007.2,0.2,0.0,1.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.0
30076,2016,8,5,3,69.0,2.0,40.0,1400,29.0,26.5,1005.9,23.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69.0
