No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Changping,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
3787,2013,8,5,18,74.0,9.0,24.0,700,304.0,31.4,987.8,20.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.0
29869,2016,7,27,12,57.0,2.0,36.0,900,130.0,32.5,992.8,22.3,0.0,2.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.0
13425,2014,9,11,8,103.0,6.0,50.0,1200,34.0,21.3,1006.3,14.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57.0
21959,2015,9,1,22,7.0,2.0,18.0,100,34.0,20.8,1004.7,16.6,0.0,0.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
64,2013,3,3,15,128.0,14.0,20.0,400,78.0,17.0,1006.8,-14.9,0.0,2.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68.0
29655,2016,7,18,14,101.0,5.0,33.0,1300,175.0,28.4,997.7,20.9,0.0,2.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101.0
9894,2014,4,17,5,201.0,11.0,62.0,1000,7.0,12.3,1002.5,7.8,0.3,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82.0
32620,2016,11,19,3,257.0,6.0,49.0,2900,2.0,6.1,1004.5,3.1,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,223.0
2727,2013,6,22,14,10.0,3.0,6.0,500,49.0,22.2,998.7,18.8,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
22375,2015,9,19,6,6.0,2.0,67.0,400,8.0,16.6,1009.9,7.5,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
17807,2015,3,12,22,63.0,20.0,44.0,1000,45.0,4.8,1008.2,-18.3,0.0,1.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.0
31041,2016,9,14,8,117.0,2.0,60.0,1600,9.0,20.3,1008.9,17.9,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117.0
29357,2016,7,6,4,89.0,2.0,14.0,700,75.0,22.8,1003.0,18.1,0.0,0.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.0
11220,2014,6,11,11,9.0,2.0,6.0,400,95.0,27.4,1002.0,11.8,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
5354,2013,10,10,1,165.0,15.0,91.0,1400,4.0,14.5,998.5,12.7,0.0,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155.0
