No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Dingling,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
28487,2016,5,30,22,186.0,10.0,35.0,1100,298.0,28.0,992.7,16.0,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0
5130,2013,9,30,17,101.0,14.0,48.0,1500,41.0,19.6,1008.6,16.4,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147.0
18605,2015,4,15,4,77.0,2.0,18.0,400,52.0,11.5,991.4,2.2,0.0,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.0
14609,2014,10,30,16,206.0,20.0,81.0,1600,29.0,13.6,1012.4,6.7,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,206.0
27769,2016,5,1,0,133.0,5.0,37.0,1000,121.0,20.9,993.4,14.8,0.0,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0
18819,2015,4,24,2,211.0,2.0,19.0,100,49.0,13.5,1014.0,-8.4,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.0
22868,2015,10,9,19,25.0,6.0,4.0,300,74.0,13.2,1004.1,-3.6,0.0,2.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
34486,2017,2,4,21,9.0,2.0,3.0,200,95.0,6.0,1010.5,-12.1,0.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
27177,2016,4,6,8,169.0,17.0,51.0,1700,29.0,11.8,1002.8,-2.8,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104.0
3621,2013,7,29,20,27.0,3.0,18.0,600,62.0,28.6,990.8,22.6,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0
4662,2013,9,11,5,6.0,1.0,4.0,200,19.0,14.5,1006.6,9.3,0.0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
24126,2015,12,1,5,386.0,20.0,94.0,6100,2.0,-0.1,1011.0,-2.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,386.0
28133,2016,5,16,4,17.0,2.0,20.0,300,38.0,10.9,1000.5,1.9,0.0,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0
28387,2016,5,26,18,6.0,2.0,3.0,200,119.0,28.7,999.4,1.2,0.0,2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0
27126,2016,4,4,5,109.0,2.0,30.0,200,40.0,6.1,1005.6,-4.7,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.0
2989,2013,7,3,12,18.0,9.0,6.0,800,98.0,35.9,986.6,15.6,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.0
7668,2014,1,14,11,26.0,48.0,17.0,500,53.0,1.1,1024.8,-16.8,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.0
15000,2014,11,15,23,104.0,21.0,72.0,1200,2.0,2.4,1021.0,-8.1,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103.0
3430,2013,7,21,21,107.0,3.0,15.0,1100,96.0,27.6,996.4,21.4,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.0
4681,2013,9,12,0,73.0,2.0,13.0,800,74.0,19.8,1005.2,16.6,0.0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
34229,2017,1,25,4,125.0,13.0,71.0,2100,46.0,-6.175,1025.0,-14.3,0.0,1.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125.0
32249,2016,11,3,16,210.0,17.0,111.0,1600,32.0,13.1,1005.2,0.5,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,172.0
1898,2013,5,19,1,66.0,11.0,26.0,800,75.0,18.0,993.5,12.7,0.0,3.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.0
26976,2016,3,28,23,135.0,2.0,4.0,500,94.0,15.3,1007.1,-5.2,0.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0
9992,2014,4,21,7,23.0,2.0,12.0,100,70.0,17.2,1008.7,-2.5,0.0,2.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
24396,2015,12,12,11,73.0,29.0,57.0,1500,11.0,3.1,1017.6,-6.3,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70.0
24968,2016,1,5,7,11.0,8.0,10.0,100,50.0,-6.6,1022.2,-20.6,0.0,2.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0
19588,2015,5,26,3,117.0,10.0,12.0,900,136.0,23.5,997.2,13.9,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0
21215,2015,8,1,22,56.0,2.0,17.0,900,75.0,22.7,996.5,22.0,11.3,0.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.0
3671,2013,7,31,22,18.0,3.0,13.0,500,100.0,22.0,994.1,20.5,2.1,2.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
7097,2013,12,21,16,86.0,63.0,75.0,1500,21.0,0.9,1023.9,-14.8,0.0,1.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78.0
16228,2015,1,6,3,13.0,13.0,12.0,300,52.0,-2.0,1023.0,-23.2,0.0,2.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
24555,2015,12,19,2,48.0,8.0,18.0,800,21.0,-3.4,1028.1,-9.6,0.0,0.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0
19510,2015,5,22,21,75.0,5.0,18.0,600,151.0,23.8,998.8,9.0,0.0,1.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.0
26691,2016,3,17,2,320.0,19.0,75.0,2300,39.0,5.5,1005.6,0.3,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,316.0
13187,2014,9,1,10,107.0,5.0,21.0,1500,44.0,23.4,1005.1,19.1,0.0,1.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.0
26174,2016,2,24,13,21.0,7.0,2.0,300,82.0,5.8,1022.9,-18.2,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.0
25392,2016,1,22,23,20.0,2.0,6.0,300,65.0,-12.6,1035.2,-28.6,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.0
19355,2015,5,16,10,19.0,7.0,14.0,300,77.0,24.5,1002.6,3.2,0.0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.0
13840,2014,9,28,15,132.0,16.0,75.0,1600,38.0,21.3,1005.4,13.7,0.0,1.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
32151,2016,10,30,14,40.0,4.0,9.0,300,65.0,9.5,1016.2,0.1,0.0,5.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0
18285,2015,4,1,20,132.0,16.0,37.0,600,55.0,8.7,1007.0,1.1,0.1,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
13516,2014,9,15,3,14.0,2.0,12.0,200,29.0,14.8,1011.0,6.1,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
25961,2016,2,15,16,48.0,2.0,2.0,200,87.0,3.3,1014.1,-17.0,0.0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
2888,2013,6,29,7,13.0,3.0,12.0,600,42.0,22.7,996.2,19.7,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
3696,2013,8,1,23,19.0,3.0,3.0,400,29.0,21.7,996.8,20.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.0
21493,2015,8,13,12,192.0,9.0,32.0,1100,183.0,31.7,995.1,22.7,0.0,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126.0
19880,2015,6,7,7,57.0,16.0,22.0,5000,9.0,20.6,1000.3,8.6,0.0,1.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.0
34460,2017,2,3,19,119.0,28.0,58.0,1700,44.0,2.9,1012.1,-16.2,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119.0
4766,2013,9,15,13,44.0,15.0,13.0,500,69.0,25.7,1004.4,6.8,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0
19424,2015,5,19,7,66.0,2.0,2.0,100,88.0,20.4,997.1,-9.0,0.0,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
9232,2014,3,20,15,8.0,2.0,2.0,200,95.0,19.2,1014.0,-14.5,0.0,4.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
20477,2015,7,2,4,16.0,6.0,12.0,100,66.0,18.7,993.6,10.5,0.0,1.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
21135,2015,7,29,14,83.0,2.0,12.0,600,117.0,31.5,992.6,22.2,0.0,1.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.0
