No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Dongsi,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
28980,2016,6,20,11,90.0,7.0,26.0,1300,190.0,30.5,998.6,19.2,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90.0
10471,2014,5,11,6,30.0,2.0,13.0,1000,77.0,10.8,1005.2,10.0,1.8,2.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.0
27980,2016,5,9,19,28.0,2.0,33.0,600,72.0,18.7,1007.2,9.7,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
741,2013,3,31,20,246.0,30.0,96.0,1800,2.0,6.4,1011.3,2.8,0.0,1.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243.0
16613,2015,1,22,4,26.0,19.0,70.0,1100,2.0,-6.0,1020.0,-14.8,0.0,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
21613,2015,8,18,12,157.0,6.0,63.0,1200,71.0,28.6,1007.3,17.5,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77.0
20274,2015,6,23,17,113.0,9.0,21.0,900,227.0,31.3,1001.2,16.1,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113.0
303,2013,3,13,14,24.0,5.0,22.0,300,84.0,8.3,1024.3,-16.1,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
30566,2016,8,25,13,6.0,2.0,13.0,300,63.0,28.5,1008.8,11.1,0.0,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
24384,2015,12,11,23,115.0,26.0,68.0,1900,4.0,-0.4,1023.2,-6.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115.0
22657,2015,10,1,0,43.0,2.0,32.0,500,24.0,14.7,1006.9,13.7,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43.0
24777,2015,12,28,8,71.0,14.0,63.0,1300,2.0,-8.7,1032.6,-11.2,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71.0
18113,2015,3,25,16,133.0,32.0,32.0,1300,115.0,17.9,1024.0,-0.9,0.0,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.0
22748,2015,10,4,19,257.0,23.0,95.0,1800,123.0,17.5,1016.7,13.6,0.0,0.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,212.0
22125,2015,9,8,20,122.0,13.0,55.0,1000,133.0,22.8,1011.5,15.6,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67.0
13990,2014,10,4,21,85.0,2.0,59.0,1200,17.0,14.1,1018.9,13.0,0.0,2.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
1876,2013,5,18,3,170.0,46.0,79.0,2399,64.0,18.2,1004.3,13.5,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.0
14344,2014,10,19,15,180.0,20.0,47.0,1300,102.0,20.1,1009.1,11.8,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,165.0
30896,2016,9,8,7,27.0,2.0,67.0,900,2.0,18.2,1003.1,16.7,0.0,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.0
20597,2015,7,7,4,104.0,8.0,55.0,1100,28.0,21.0,1005.7,16.4,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0
11766,2014,7,4,5,272.0,5.0,61.0,1600,25.0,24.4,1000.4,22.8,0.0,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.0
16911,2015,2,3,14,75.0,35.0,19.0,800,78.0,7.0,1024.0,-10.3,0.0,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.0
29426,2016,7,9,1,75.0,5.0,59.0,700,30.0,27.3,1002.4,22.0,0.0,1.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0
27176,2016,4,6,7,111.0,47.0,67.0,2400,39.0,9.4,1007.7,0.8,0.0,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88.0
1501,2013,5,2,12,99.0,30.0,31.0,800,145.0,22.8,1007.7,3.8,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67.0
6061,2013,11,8,12,150.0,75.0,88.0,2000,8.568,12.8,1015.5,-1.5,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
13011,2014,8,25,2,47.0,4.0,54.0,700,31.0,21.6,1006.6,17.6,0.0,1.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0
28514,2016,6,1,1,19.0,8.0,30.0,800,64.0,21.0,1008.2,3.2,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0
13756,2014,9,25,3,84.0,4.0,63.0,1100,3.0,15.4,1012.8,14.8,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.0
28272,2016,5,21,23,59.0,8.0,61.0,700,94.0,19.3,1015.8,7.1,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
28374,2016,5,26,5,163.0,2.0,13.0,300,91.0,22.4,1004.2,4.4,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.0
27537,2016,4,21,8,218.0,13.0,98.0,2300,12.0,14.3,999.9,8.9,0.0,1.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.0
11422,2014,6,19,21,104.0,9.0,42.0,1100,85.0,23.3,1001.8,17.1,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72.0
10905,2014,5,29,8,218.0,14.0,127.0,1400,19.0,29.0,994.2,12.0,0.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0
22183,2015,9,11,6,10.0,2.0,20.0,300,42.0,14.8,1013.2,11.0,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0
14504,2014,10,26,7,12.0,2.0,33.0,400,34.0,14.0,1020.6,-3.3,0.0,5.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
22757,2015,10,5,4,181.0,8.0,108.0,1500,2.0,12.9,1016.1,12.4,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0
24436,2015,12,14,3,242.0,19.0,94.0,4400,3.0,0.1,1020.5,0.1,0.4,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.0
9324,2014,3,24,11,294.0,75.0,92.0,2400,49.0,16.0,1010.0,2.7,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,277.0
5902,2013,11,1,21,153.0,29.0,90.0,1700,9.2106,7.5,1020.5,6.0,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,211.0
12614,2014,8,8,13,61.0,12.0,27.0,1000,184.0,31.7,1003.9,13.9,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.0
14779,2014,11,6,18,5.0,2.0,33.0,400,40.0,6.0,1025.0,-8.0,0.0,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
22683,2015,10,2,2,78.0,2.0,76.0,700,2.0,10.4,1008.2,8.2,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.0
28077,2016,5,13,20,38.0,3.0,29.0,200,104.0,21.2,1014.6,2.9,0.0,1.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.0
