No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Guanyuan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
19254,2015,5,12,5,10.0,2.0,33.0,400,53.0,10.9,991.8,4.8,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0
9669,2014,4,7,20,169.0,25.0,53.0,800,160.0,18.8,1006.8,5.9,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,104.0
26582,2016,3,12,13,142.0,46.0,78.0,1500,34.0,7.4,1012.2,-11.4,0.0,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111.0
17103,2015,2,11,14,24.0,20.0,29.0,500,64.0,10.0,1009.0,-17.2,0.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.0
25508,2016,1,27,19,156.0,65.0,111.0,2000,2.0,-3.4,1022.8,-17.8,0.0,0.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,140.0
1365,2013,4,26,20,113.0,37.0,55.0,600,109.0,18.6,1002.9,0.2,0.0,1.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74.0
528,2013,3,22,23,77.0,19.0,58.0,1200,30.0,3.1,1011.1,-3.3,0.0,1.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59.0
13966,2014,10,3,21,166.0,5.0,87.0,2800,4.0,15.5,1012.0,15.0,0.1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0
814,2013,4,3,21,91.0,20.0,66.0,1000,47.0,9.6,1010.4,-1.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51.0
17114,2015,2,12,1,12.0,3.0,25.0,400,66.0,1.0,1017.0,-13.1,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0
17913,2015,3,17,8,254.0,16.0,75.0,1900,12.0,7.0,1016.8,4.1,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,254.0
27618,2016,4,24,17,293.0,41.0,30.0,1000,195.0,24.2,1002.4,8.6,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,182.0
20132,2015,6,17,19,84.0,2.0,63.0,1000,89.0,28.6,997.6,19.0,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.0
6375,2013,11,21,14,46.0,35.0,50.0,1000,22.491,12.1,1018.6,-5.4,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.0
8240,2014,2,7,7,77.0,21.0,57.0,1300,13.0,-3.5,1022.7,-4.9,0.4,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97.0
5703,2013,10,24,14,42.0,4.0,22.0,700,73.0,16.7,1019.7,-1.4,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0
24667,2015,12,23,18,357.0,26.0,191.0,5500,4.0,0.4,1022.0,-5.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,310.0
15985,2014,12,27,0,193.0,130.0,132.0,4400,2.0,-2.8,1030.0,-8.9,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0
3033,2013,7,5,8,50.0,14.0,47.0,600,28.0,30.2,993.4,20.4,0.0,2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.0
26465,2016,3,7,16,44.0,2.0,11.0,200,86.0,9.5,1017.9,-18.6,0.0,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0
27696,2016,4,27,23,126.0,2.0,77.0,1200,23.0,13.5,1009.2,11.0,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0
29366,2016,7,6,13,82.0,6.0,19.0,700,204.0,33.4,1007.2,15.9,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82.0
27793,2016,5,2,0,77.0,8.0,37.0,1000,94.0,24.3,998.9,13.2,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59.0
18212,2015,3,29,19,374.0,10.0,30.0,500,103.0,21.3,1006.3,-1.3,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67.0
30536,2016,8,24,7,69.0,4.0,61.0,1100,39.0,25.4,1001.6,21.5,0.0,1.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69.0
30124,2016,8,7,3,15.0,2.0,10.0,500,70.0,25.7,1001.5,22.4,0.0,1.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0
1603,2013,5,6,18,43.0,30.0,37.0,800,227.0,26.9,1007.1,9.3,0.0,2.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85.0
23512,2015,11,5,15,26.0,2.0,31.0,500,9.0,6.8,1026.7,3.6,0.0,3.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
27048,2016,3,31,23,318.0,8.0,28.0,600,109.0,19.9,998.4,6.6,0.0,3.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58.0
8211,2014,2,6,2,158.0,65.0,95.0,3200,1.0,-3.9,1023.0,-9.9,0.0,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158.0
30026,2016,8,3,1,87.0,8.0,44.0,1100,81.0,28.3,1006.0,22.5,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0
25583,2016,1,30,22,25.0,18.0,50.0,700,20.0,-4.7,1033.1,-24.9,0.0,2.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.0
16718,2015,1,26,13,26.0,11.0,27.0,400,39.0,3.0,1023.0,-14.7,0.0,3.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.0
5475,2013,10,15,2,17.0,1.0,49.0,100,10.0,4.0,1027.5,-2.4,0.0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0
