No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Gucheng,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
7980,2014,1,27,11,148.0,100.0,101.0,4000,17.0,3.1,1009.2,-8.6,0.0,1.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.0
22562,2015,9,27,1,171.0,5.0,90.0,800,10.0,17.1,1005.2,13.2,0.0,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0
8721,2014,2,27,8,5.0,11.0,39.0,700,51.0,4.2,1024.3,-13.6,0.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
26561,2016,3,11,16,63.0,9.0,19.0,500,91.0,7.9,1012.7,-16.4,0.0,3.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.0
7534,2014,1,8,21,23.0,11.0,30.0,900,48.0,-3.0,1026.2,-21.3,0.0,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.0
22517,2015,9,25,4,41.0,2.0,36.0,400,30.0,15.3,1002.5,14.3,0.0,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.0
32504,2016,11,14,7,69.0,2.0,17.0,300,49.0,10.8,1013.8,-18.6,0.0,4.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0
3342,2013,7,18,5,151.0,7.0,64.0,2000,22.0,25.0,997.6,22.5,0.0,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,146.0
22784,2015,10,6,7,229.0,2.0,87.0,1700,4.0,14.4,1010.6,13.8,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,228.0
16741,2015,1,27,12,13.0,6.0,15.0,500,62.0,-1.0,1026.0,-21.8,0.0,3.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
