No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Huairou,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
34334,2017,1,29,13,33.0,3.0,5.0,300,73.0,-1.65,1020.25,-21.9,0.0,5.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0
29100,2016,6,25,11,34.0,2.0,15.0,300,61.0,31.0,998.6,12.4,0.0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
18113,2015,3,25,16,163.0,53.0,57.0,1900,117.0,17.2,1019.2,-1.5,0.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133.0
16126,2015,1,1,21,87.0,27.0,73.0,1900,2.0,-7.0,1018.0,-21.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.0
3568,2013,7,27,15,48.0,3.0,13.0,1600,14.0,24.6,991.0,24.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60.0
32135,2016,10,29,22,138.0,2.0,56.0,1500,5.0,3.0,1017.9,-0.3,0.0,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71.0
18033,2015,3,22,8,22.0,2.0,6.0,200,84.0,6.2,1020.4,-21.2,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
21614,2015,8,18,13,179.0,5.0,10.0,800,111.0,28.2,1002.1,20.0,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.0
4413,2013,8,31,20,28.0,1.0,15.0,300,64.0,18.6,1003.1,14.5,0.0,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
6537,2013,11,28,8,32.0,33.0,49.0,1200,9.8532,-2.0,1019.1,-19.9,0.0,0.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
2407,2013,6,9,6,88.0,4.0,31.0,1399,2.0,19.6,999.8,19.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.0
11029,2014,6,3,12,23.0,2.0,8.0,400,135.0,32.1,997.7,9.0,0.0,4.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0
10237,2014,5,1,12,250.0,31.0,43.0,1300,147.0,25.1,997.4,15.1,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,188.0
2895,2013,6,29,14,116.0,8.0,18.0,1700,45.0,24.8,995.9,21.7,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72.0
35015,2017,2,26,22,71.0,8.0,43.0,1200,40.0,3.1,1015.1,-6.3,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.0
7622,2014,1,12,13,6.0,28.0,20.0,300,80.0,0.6,1026.3,-21.7,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0
23014,2015,10,15,21,104.0,2.0,37.0,1100,50.0,14.2,1008.5,10.2,0.0,1.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.0
24804,2015,12,29,11,130.0,21.0,61.0,1700,2.0,-0.4,1020.0,-7.7,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
20447,2015,6,30,22,67.0,2.0,52.0,600,30.0,21.2,989.0,15.1,0.0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.0
7840,2014,1,21,15,34.0,66.0,29.0,600,60.0,3.4,1020.0,-20.1,0.0,0.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
20776,2015,7,14,15,40.0,7.0,15.0,700,297.0,35.0,992.7,15.8,0.0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40.0
17123,2015,2,12,10,26.0,4.0,23.0,600,59.0,2.0,1015.0,-13.4,0.0,3.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
23572,2015,11,8,3,27.0,2.0,6.0,400,35.0,2.8,1016.9,-1.4,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
5499,2013,10,16,2,32.0,4.0,31.0,400,23.0,2.0,1018.2,0.4,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.0
4638,2013,9,10,5,123.0,5.0,49.0,1100,1.0,17.8,1003.1,17.8,0.0,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119.0
4420,2013,9,1,3,20.0,2.0,12.0,500,32.0,16.0,1004.6,15.5,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0
24338,2015,12,10,1,228.0,5.0,44.0,2700,12.0,0.4,1013.9,-0.2,0.0,1.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,228.0
6904,2013,12,13,15,24.0,31.0,28.0,600,56.0,0.0,1014.8,-20.9,0.0,1.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.0
32771,2016,11,25,10,102.0,9.0,48.0,1300,7.0,-1.0,1017.4,-8.2,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.0
27815,2016,5,2,22,39.0,2.0,4.0,200,70.0,13.9,999.2,5.3,0.0,2.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.0
2560,2013,6,15,15,244.0,64.0,46.0,1200,201.0,29.3,996.7,15.1,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133.0
34187,2017,1,23,10,42.0,6.0,24.0,700,39.0,-7.166666667,1028.0,-18.9,0.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.0
17737,2015,3,10,0,5.0,2.0,2.0,200,85.0,-3.5,1028.0,-28.9,0.0,0.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
22760,2015,10,5,7,141.0,2.0,22.0,1100,26.0,11.4,1011.1,11.1,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141.0
30993,2016,9,12,8,27.0,2.0,18.0,700,2.0,20.4,1009.2,16.8,0.0,0.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
6607,2013,12,1,6,26.0,32.0,49.0,900,9.8532,-5.6,1015.9,-12.4,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
20596,2015,7,7,3,56.0,8.0,14.0,500,63.0,20.7,1001.4,17.3,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56.0
