No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Nongzhanguan,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
21263,2015,8,3,22,12.0,2.0,33.0,400,56.0,22.9,997.7,15.2,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
26888,2016,3,25,7,101.0,20.0,82.0,1400,6.0,1.9,1026.0,-5.5,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
12025,2014,7,15,0,137.0,4.0,70.0,600,54.0,26.7,1000.6,16.0,0.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0
33247,2016,12,15,6,68.0,15.0,62.0,1500,6.0,-5.2,1026.6,-11.4,0.0,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
8781,2014,3,1,20,65.0,12.0,56.0,700,55.0,7.9,1017.4,-13.1,0.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.0
25468,2016,1,26,3,32.0,13.0,26.0,400,48.0,-1.9,1023.7,-22.5,0.0,3.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0
32096,2016,10,28,7,10.0,3.0,26.0,300,32.0,9.1,1024.1,-3.5,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
17607,2015,3,4,14,16.0,4.0,23.0,500,68.0,4.666666667,1024.0,-25.6,0.0,2.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0
7620,2014,1,12,11,34.0,31.0,28.0,600,46.0,1.0,1033.5,-22.1,0.0,3.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0
13570,2014,9,17,9,39.0,4.0,54.0,500,29.0,19.0,1017.3,10.8,0.0,1.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
18077,2015,3,24,4,116.0,34.0,76.0,3300,13.0,4.2,1028.0,-6.1,0.0,3.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
5390,2013,10,11,13,80.0,24.0,39.0,600,74.0,22.6,1009.5,3.2,0.0,2.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0
6266,2013,11,17,1,15.0,6.0,47.0,500,3.8556,-0.6,1019.3,-8.5,0.0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
24778,2015,12,28,9,139.0,20.0,95.0,4300,14.0,-6.6,1033.0,-12.5,0.0,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128.0
24705,2015,12,25,8,537.0,11.0,188.0,9000,16.0,-3.3,1015.9,-3.3,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.0
19329,2015,5,15,8,51.0,2.0,38.0,400,57.0,18.3,1013.5,5.5,0.0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
19656,2015,5,28,23,135.0,22.0,47.0,900,129.0,25.3,1000.8,14.7,0.0,1.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0
16641,2015,1,23,8,198.0,67.0,113.0,3600,2.0,-8.0,1012.0,-12.5,0.0,1.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0
6660,2013,12,3,11,76.0,30.0,39.8282,900,24.0,12.1,1018.7,-10.2,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.0
34326,2017,1,29,5,45.0,4.0,7.0,200,66.0,0.875,1020.75,-17.5,0.0,3.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
22538,2015,9,26,1,127.0,3.0,84.0,1800,4.0,12.1,1009.2,9.1,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
24842,2015,12,31,1,25.0,5.0,67.0,900,32.0,-1.6,1030.2,-10.2,0.0,0.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.0
17439,2015,2,25,14,24.0,9.0,15.0,300,83.0,5.0,1017.0,-22.1,0.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0
10058,2014,4,24,1,90.0,10.0,40.0,700,99.0,17.7,1008.6,10.3,0.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87.0
23637,2015,11,10,20,150.0,8.0,60.0,1500,3.0,5.4,1025.4,3.6,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,150.0
30238,2016,8,11,21,78.0,2.0,42.0,900,117.0,32.6,1001.7,26.4,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72.0
12740,2014,8,13,19,23.6,2.0,31.9,700,65.5,20.4,1004.2,18.7,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6
16808,2015,1,30,7,28.0,24.0,28.0,400,55.0,-5.0,1032.0,-22.5,0.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0
21651,2015,8,20,2,24.0,2.0,31.0,700,69.0,20.9,1005.8,16.3,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
17585,2015,3,3,16,25.0,2.0,9.0,300,72.0,3.5,1019.1,-26.5,0.0,4.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0
1832,2013,5,16,7,98.0,23.0,61.0,800,14.0,20.4,1015.4,10.5,0.0,1.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52.0
21374,2015,8,8,13,45.0,2.0,26.0,700,142.0,29.3,1009.0,19.0,0.0,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
8182,2014,2,4,21,133.0,57.0,45.0,900,37.0,-1.7,1025.2,-25.0,0.0,1.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87.0
11513,2014,6,23,16,31.0,3.0,12.0,300,212.0,30.9,1001.0,12.3,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.0
773,2013,4,2,4,80.0,25.0,88.0,1300,13.0,4.9,1018.4,0.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.0
34549,2017,2,7,12,33.0,21.0,24.0,100,57.0,1.6,1027.8,-7.5,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.0
22795,2015,10,6,18,309.0,14.0,80.0,2100,201.0,21.3,1010.8,16.5,0.0,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,309.0
15072,2014,11,18,23,244.0,72.0,136.0,2300,2.0,1.0,1023.0,-3.7,0.0,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0
3734,2013,8,3,13,54.0,6.0,41.0,900,195.0,32.9,998.3,16.7,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.0
10709,2014,5,21,4,123.0,21.0,81.0,1100,30.0,17.7,1002.3,10.6,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0
149,2013,3,7,4,245.0,74.0,153.0,6500,14.0,0.9,1008.5,-2.5,0.0,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,227.0
27346,2016,4,13,9,241.0,12.0,120.0,2100,7.0,12.5,1000.3,8.4,0.0,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.0
6528,2013,11,27,23,26.0,2.0,11.4968,500,45.0,-2.6,1025.4,-27.3,0.0,4.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
33900,2017,1,11,11,71.0,28.0,90.0,2700,58.0,0.625,1023.0,-10.0,0.0,1.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.0
11563,2014,6,25,18,125.0,9.0,38.0,1100,116.0,24.2,999.2,19.9,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125.0
20695,2015,7,11,6,137.0,16.0,57.0,1700,28.0,23.8,1004.8,20.3,0.0,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.0
24109,2015,11,30,12,544.0,30.0,158.0,7600,9.0,-1.1,1021.6,-2.2,0.0,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.0
11619,2014,6,28,2,67.0,7.0,64.0,600,72.0,21.8,1002.0,15.4,0.0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
32356,2016,11,8,3,19.0,2.0,52.0,400,2.0,0.3,1030.5,-4.2,0.0,0.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
