No,year,month,day,hour,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station_Shunyi,wd_E,wd_ENE,wd_ESE,wd_N,wd_NE,wd_NNE,wd_NNW,wd_NW,wd_S,wd_SE,wd_SSE,wd_SSW,wd_SW,wd_W,wd_WNW,wd_WSW,Label
4535,2013,9,5,22,39.0,3.0,16.0,1600,51.0,18.3,1013.2,15.7,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.0
28568,2016,6,3,7,82.0,7.0,93.0,1000,22.0,20.6,1003.8,10.4,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64.0
31892,2016,10,19,19,268.0,3.0,96.0,1900,9.0,16.2,1012.9,14.4,0.0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,268.0
4850,2013,9,19,1,107.0,23.0,29.0,2400,27.0,20.2,1011.8,18.1,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94.0
20665,2015,7,10,0,88.0,10.0,42.0,500,62.0,25.3,1008.7,15.0,0.0,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
11192,2014,6,10,7,92.0,4.0,46.0,1100,26.0,20.0,1005.9,15.2,0.0,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.0
33020,2016,12,5,19,6.0,3.0,25.0,300,55.0,1.0,1027.8,-17.9,0.0,1.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
24322,2015,12,9,9,254.0,12.0,84.0,3400,2.0,1.9,1023.2,1.2,0.0,0.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,254.0
7295,2013,12,29,22,150.0,86.0,139.0,2400,3.0,-4.6,1013.7,-12.7,0.0,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.0
5101,2013,9,29,12,221.0,4.0,46.0,1500,3.0,18.4,1015.1,14.3,0.0,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,211.0
7908,2014,1,24,11,188.0,91.0,72.0,2200,14.0,4.7,1014.7,-11.9,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,184.0
21429,2015,8,10,20,68.0,2.0,44.0,700,94.0,29.3,1004.7,19.9,0.0,1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.0
24346,2015,12,10,9,158.0,16.0,50.0,2000,8.0,2.7,1023.0,-0.9,0.0,1.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,158.0
34213,2017,1,24,12,23.0,11.0,14.0,600,69.0,-0.9,1034.75,-16.8,0.0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.0
8166,2014,2,4,5,18.0,7.0,14.0,400,64.0,-5.5,1026.3,-29.7,0.0,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
21379,2015,8,8,18,40.0,17.0,18.0,700,166.0,29.2,1007.3,20.4,0.0,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0
15054,2014,11,18,5,24.0,4.0,54.0,400,2.0,0.1,1017.0,-8.1,0.0,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0
13339,2014,9,7,18,149.0,4.0,20.0,1200,168.0,26.0,1002.9,19.9,0.0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107.0
8372,2014,2,12,19,102.0,45.0,82.0,1300,14.0,-1.9,1030.4,-12.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93.0
32400,2016,11,9,23,282.0,23.0,94.0,3900,6.0,4.7,1019.4,1.2,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247.0
31345,2016,9,27,0,78.0,4.0,56.0,1300,2.0,18.6,1010.9,18.1,0.0,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.0
30589,2016,8,26,12,14.0,2.0,13.0,200,80.0,27.8,1013.4,6.0,0.0,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0
7634,2014,1,13,1,89.0,45.0,51.0,1900,3.0,-7.0,1030.7,-18.4,0.0,1.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.0
11484,2014,6,22,11,49.0,2.0,11.0,700,116.0,27.3,1005.4,17.5,0.0,1.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.0
23817,2015,11,18,8,55.0,7.0,46.0,800,2.0,3.3,1025.1,-0.7,0.0,2.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45.0
24498,2015,12,16,17,10.0,2.0,14.0,300,37.0,-0.6,1028.9,-17.8,0.0,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
18714,2015,4,19,17,43.0,2.0,11.0,200,103.0,21.8,1009.2,-12.5,0.0,1.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.0
13435,2014,9,11,18,95.0,7.0,46.0,1400,81.0,21.4,1009.7,19.1,1.3,1.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54.0
31521,2016,10,4,8,59.0,9.0,55.0,1700,4.0,16.3,1013.2,10.8,0.2,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.0
8186,2014,2,5,1,163.0,56.0,59.0,3700,5.0,-5.0,1025.8,-21.6,0.0,1.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,172.0
35060,2017,2,28,19,72.0,8.0,92.0,800,16.0,10.3,1014.2,-12.4,0.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.0
1477,2013,5,1,12,54.0,13.0,33.0,700,87.0,22.8,1010.7,-3.6,0.0,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
4563,2013,9,7,2,70.0,1.0,25.0,1800,28.0,18.8,1013.0,16.9,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89.0
15344,2014,11,30,7,240.0,3.0,71.0,3400,6.0,3.5,1016.0,1.9,0.0,1.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207.0
27193,2016,4,7,0,283.0,8.0,116.0,2500,2.0,13.3,1003.9,7.9,0.0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,283.0
7139,2013,12,23,10,30.0,46.0,39.0,900,23.0,2.6,1029.1,-13.3,0.0,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
20730,2015,7,12,17,247.0,2.0,15.0,500,184.0,32.4,992.3,16.7,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
16789,2015,1,29,12,141.0,44.0,72.0,2200,28.0,3.0,1026.0,-10.6,0.0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141.0
7453,2014,1,5,12,56.0,22.0,37.0,1000,43.0,5.2,1021.1,-11.0,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0
6050,2013,11,8,1,80.0,10.0,46.0,1100,0.2142,2.2,1017.7,-2.1,0.0,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.0
26691,2016,3,17,2,224.0,28.0,80.0,1800,27.0,8.1,1011.3,0.8,0.0,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,224.0
508,2013,3,22,3,130.0,12.0,20.0,600,64.0,4.5,1012.6,-6.7,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0
33713,2017,1,3,16,196.0,32.0,146.0,3200,21.0,8.2,1016.9,-8.4,0.0,1.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,166.0
30791,2016,9,3,22,102.0,2.0,79.0,600,49.0,25.9,1005.0,17.0,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0
12051,2014,7,16,2,104.0,2.0,31.0,700,69.0,24.8,999.4,20.7,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75.0
2876,2013,6,28,19,312.0,3.0,40.0,2899,110.0,25.2,996.3,25.2,6.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,364.0
28043,2016,5,12,10,14.0,2.0,50.0,500,21.0,16.5,1007.4,3.2,0.0,6.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0
8419,2014,2,14,18,252.0,68.0,76.0,2000,49.0,-1.8,1020.7,-5.6,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,279.0
18530,2015,4,12,1,6.0,2.0,9.0,300,63.0,8.4,1019.0,6.9,0.0,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
6708,2013,12,5,11,8.0,8.0,11.0,700,60.0,8.4,1022.3,-13.3,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
16132,2015,1,2,3,62.0,22.0,34.0,800,23.0,-4.0,1028.0,-20.7,0.0,2.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0
14766,2014,11,6,5,5.0,2.0,4.0,100,42.0,6.9,1011.0,-9.1,0.0,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
7952,2014,1,26,7,82.0,61.0,55.0,1200,5.0,-3.5,1030.3,-9.7,0.0,1.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.0
7214,2013,12,26,13,7.0,5.0,12.0,300,67.0,1.1,1029.6,-20.6,0.0,7.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0
