param 1,param 2,param 3,param 4,param 5,param 6,param 7,param 8,param 9,param 10,param 11,param 12,param 13,param 14,param 15,param 16,param 17,param 18,param 19,param 20,param 21,param 22,param 23,param 24,param 25,param 26,param 27,param 28,param 29,param 30,param 31,param 32,param 33,param 34,param 35,param 36,param 37,param 38,param 39,param 40,param 41,param 42,param 43,param 44,param 45,param 46,param 47,param 48,param 49,param 50,param 51,param 52,param 53,Label
68306,0,3811,2,0,112,26.94420601,19.0,23.00832791,0,75,9.416309013,3.0,15.99713199,0,86,9.583690987,4.0,15.49700484,0,93,25.42918455,18.0,22.02954333,-86,75,-0.16738197400000002,-2.0,23.77599974,15,1,2,13,-1,64,25,5,0,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8471,1476,5,30,0,5,0.356164384,0.0,0.897024961,0,4,0.136986301,0.0,0.556778121,0,2,0.150684932,0.0,0.45844385,0,4,0.315068493,0.0,0.737948143,-2,4,-0.01369863,0.0,0.630136986,0,0,0,0,0,39,34,1,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34008,0,11863,18,0,568,41.20430108,30.0,61.08966777,0,106,11.58064516,4.0,18.88295732,0,229,15.93548387,3.0,30.52120943,0,467,38.54838710000001,29.0,51.16398181,-172,106,-4.35483871,-3.0,35.04180151,98,2,96,96,-94,47,47,30,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
104037,0,30,14,0,113,6.748691099,4.0,11.21329082,0,26,2.104712042,0.0,4.252443559,0,57,2.565445026,0.0,5.719870727000001,0,106,6.445026177999999,4.0,10.63265069,-47,26,-0.460732984,0.0,6.926485891,38,0,7,31,-7,65,50,3,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
165002,0,25302,36,0,605,64.89592760000001,32.0,88.30337993,0,281,27.15384615,9.0,48.40023415,0,465,24.7918552,4.0,54.63413587,0,550,60.20361991,30.0,80.59686388,-325,281,2.36199095,-1.0,63.2186839,6,0,0,6,0,62,557,40,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
81756,0,2947,36,0,182,20.43169399,12.0,26.89068096,0,151,7.617486339,2.0,15.06764783,0,158,8.524590164,2.0,18.40314171,0,179,18.98907104,12.0,25.69748113,-134,151,-0.907103825,-1.0,22.91769793,151,151,0,151,151,22,434,2838,0,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,41
1576517,0,33793,14,0,1053,159.0347826,98.0,175.7521936,0,782,64.92173913,29.0,106.70146470000002,0,704,63.79130435,23.0,104.3706185,0,782,138.02608700000002,86.0,152.3103503,-672,782,1.130434783,-5.0,146.8197666,98,6,92,96,-86,43,189,185,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8
1552629,0,64641,9,0,910,159.7019231,125.0,153.676163,0,621,62.20673077,18.5,98.00829318,0,742,59.21153846,23.0,93.17339843,0,864,150.08173080000003,114.0,145.5248395,-644,621,2.995192308,-15.0,132.4632205,104,29,75,101,-46,29,395,75,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
14435206,0,67363,14,0,1,0.05,0.0,0.217944947,0,1,0.05,0.0,0.217944947,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.05,0.0,0.217944947,0,0,0,0,0,20,148,29,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10135,0,1025,24,0,14,3.146341463,2.0,3.368150507,0,14,0.951219512,0.0,2.326425286,0,7,1.170731707,0.0,1.961861225,0,14,3.024390244,2.0,3.1350715160000004,-7,14,-0.219512195,0.0,3.056478087,6,0,1,6,-1,64,505,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
