Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
231015,-121,-176,-891,-118,46,-979,359,0,-902,0
794468,272,745,643,100,777,232,87,904,-233,1
729906,50,1029,217,-154,962,252,271,961,-145,1
1944421,40,1009,297,-100,925,313,291,952,-155,1
1482968,70,1019,217,-100,972,242,330,923,-223,1
1742921,90,1009,257,-109,962,262,330,942,-184,1
2456437,-494,823,405,-981,0,-151,-97,1000,-29,0
2122671,242,990,227,-827,435,-282,9,1009,-67,1
2706687,292,127,-920,0,37,-989,-553,323,-757,0
593234,111,1000,297,-236,925,282,184,914,-97,1
2425734,-494,823,405,-963,-9,-171,-97,1019,-19,0
2381656,-484,813,396,-945,-27,-161,-97,1009,-19,1
63718,50,29,-960,-45,37,-979,262,495,-893,0
2027000,222,970,297,-845,453,-222,-48,1028,19,2
2607187,-80,1039,128,-836,407,-272,9,980,-213,0
2726484,-393,58,900,-9,46,-979,-553,323,-757,0
2719812,222,58,-980,0,37,-969,-553,314,-747,0
1649656,111,1000,267,-100,953,262,320,942,-174,1
2562593,-70,1019,148,-836,416,-282,-29,990,-194,0
1367531,141,980,326,-872,462,-80,-19,1009,-19,0
1472687,60,1009,227,-109,935,272,330,914,-233,1
1439234,60,970,346,-63,907,303,223,904,-155,0
1702421,101,1009,267,-100,944,252,320,933,-203,1
1576750,323,931,198,436,712,90,349,819,-165,1
1306234,141,980,326,-863,472,-70,-19,1019,-29,0
2632109,131,1000,267,-154,935,292,932,-314,174,0
1629968,30,1009,207,-154,962,232,281,961,-194,1
800812,292,911,237,-163,944,222,194,990,-174,1
473609,131,1009,188,-90,972,242,339,933,-194,0
2218015,191,1009,267,-827,472,-232,19,1000,-48,1
616109,-424,1784,287,-918,962,-50,300,990,-252,1
336343,50,1019,178,-200,953,252,-757,-285,-533,0
855843,-40,1029,138,-236,944,222,281,961,-203,2
1701453,111,1009,237,-90,972,242,339,933,-184,1
1644171,181,990,237,-100,962,212,291,952,-165,1
551593,90,1019,217,-154,953,262,310,942,-155,1
1310328,141,990,326,-845,472,-80,-19,1038,-19,0
669703,141,980,316,-172,898,202,116,885,-9,1
283187,131,1000,207,-309,916,60,-87,828,-689,0
2481718,-515,813,425,-963,-9,-141,-135,990,38,0
1766515,-40,313,217,163,805,101,19,990,-194,1
2506875,-494,803,415,-945,-18,-161,-165,1000,19,0
156781,70,49,-960,-127,55,-979,368,-9,-902,0
2181093,232,980,247,-818,444,-313,9,1009,-87,1
2234656,202,980,257,-827,481,-242,29,1019,-67,1
2497562,-505,823,415,-963,-18,-161,-155,1019,58,0
907625,-50,1029,257,-218,907,282,339,933,-135,1
987281,424,1254,910,-218,1009,434,339,828,-291,1
1844703,-858,931,-277,-681,1324,60,378,1114,-330,1
1977671,30,1000,277,-163,935,303,330,942,-126,0
405359,101,1000,306,-127,944,313,359,933,-135,0
2037359,-40,1549,207,-509,1074,212,339,904,-67,1
1588687,212,872,544,418,759,111,194,847,-135,1
575203,90,1019,207,-145,962,252,300,952,-203,1
2620812,323,941,316,-872,444,-90,29,1019,-87,0
235968,-232,98,-960,-109,55,-979,359,0,-912,0
20078,-70,-29,-891,-36,46,-989,330,-38,-912,0
19031,50,-9,-980,-45,27,-969,339,-28,-922,0
1571187,272,1078,356,181,972,494,417,923,-310,1
1035968,0,1049,198,-300,1009,333,194,980,-271,2
2616484,-50,1029,148,-845,407,-292,9,990,-223,0
1502359,-101,941,326,-118,981,424,281,961,-106,1
1910906,60,990,257,-90,953,272,300,942,-174,1
2728875,90,78,-1009,0,37,-979,-553,323,-766,0
981609,1363,1127,623,-1154,1055,585,135,1028,-145,1
170609,60,49,-960,-118,55,-989,368,-9,-902,0
2547093,-50,1019,148,-836,398,-282,-19,1000,-165,0
1769093,111,1058,277,-354,1027,262,252,961,9,1
1706671,111,1009,247,-81,962,232,339,923,-213,1
1780671,171,843,524,-281,1000,545,223,761,-126,1
1873687,222,960,168,-18,953,10,388,885,-203,1
1038687,50,1019,118,-245,944,80,223,914,-242,2
601015,606,901,257,581,564,141,213,809,-48,1
2523296,-505,794,425,-954,-27,-131,-155,1009,19,0
2631203,131,980,277,-127,944,282,1135,-171,-611,0
1696609,111,1009,237,-100,962,252,339,933,-213,1
2027453,232,970,297,-836,453,-222,-38,1019,-19,2
2702000,272,147,-930,-9,37,-979,-553,228,-699,0
68328,-696,88,-1217,-36,37,-959,330,-28,-912,0
301531,151,1009,217,-163,944,252,-883,152,-669,0
233656,90,-372,-841,-127,64,-969,378,9,-922,0
916843,60,705,227,163,1092,-181,466,942,-116,2
17375,50,39,-960,-63,37,-969,339,-47,-922,0
2091421,212,990,207,-818,425,-313,9,1019,-58,1
2577375,-50,1039,138,-836,407,-292,-19,990,-174,0
725937,40,1019,237,-163,944,252,291,961,-126,1
2514156,-494,803,435,-963,-18,-131,-145,1000,19,0
1631656,30,1029,217,-145,953,282,320,923,-203,1
2600906,-50,1039,128,-836,398,-303,-9,990,-194,0
2706890,292,117,-910,0,46,-1000,-553,323,-728,0
1653640,111,1000,267,-100,944,272,330,942,-174,1
944218,181,990,247,-163,962,191,271,952,-135,2
1973046,60,1000,287,-100,944,272,281,961,-223,0
1337875,161,1000,297,-854,472,-80,-19,1019,-19,0
300859,202,1000,227,-200,962,232,-961,190,-58,0
2133921,232,980,227,-818,425,-292,38,1009,-67,1
1979437,181,1078,297,-145,898,464,349,838,-165,0
2455937,-494,823,415,-972,-9,-131,-67,1009,-29,0
1414656,272,1009,336,-745,620,-10,485,866,-155,0
1155640,171,990,287,-863,435,-80,-58,1028,-29,1
1479015,80,1009,207,-81,953,252,330,914,-233,1
531921,101,1009,207,-136,944,242,291,952,-165,1
1869546,-161,1431,128,-836,1018,171,388,942,-165,1
1293593,161,970,336,-845,472,-101,-38,1019,-38,1
110625,70,49,-970,-127,55,-989,368,0,-912,0
2625703,141,990,277,-209,925,303,194,971,-271,0
