intercolumnar distance,upper margin,lower margin ,exploitation ,row number,modular ratio,interlinear spacing ,weight ,peak number,modular ratio/ interlinear spacing,Label
-0.042522,-0.173471,0.644613,0.089437,-0.989576,0.06573999999999999,-1.440842,0.411528,0.500624,1.2174,0
0.019197,-0.016447999999999997,0.324537,-0.20781,0.261718,-0.723232,-0.38383,0.202133,0.8748020000000001,-0.332745,1
0.364825,-0.189174,0.5023569999999999,0.22329,-1.168333,1.685209,0.106925,-1.095806,-0.87136,1.59211,2
-0.202992,-0.000745,-3.210528,-0.5272560000000001,0.08296100000000001,0.688613,-0.044076,0.111425,-0.091823,0.794615,3
0.056229,0.054213,0.392108,-0.028960000000000007,0.261718,-0.681707,0.446679,0.744425,0.62535,-0.730251,1
0.229043,-0.354049,0.182281,0.210878,0.261718,1.228436,-0.044076,-0.398599,-0.029461,1.285126,4
0.019197,-0.087108,0.292529,0.240776,0.17234000000000002,0.06573999999999999,0.446679,-0.391571,0.219991,-0.06506100000000001,4
-2.215039,-0.29909,0.352988,0.054853999999999986,-1.704602,1.311485,0.673182,-0.922698,0.282354,0.90146,4
-3.498799,-0.573882,0.356544,0.750648,-4.9222150000000005,0.190314,0.106925,1.12916,0.40708,0.228927,4
0.068573,-0.189174,-2.090261,-0.6335390000000001,0.17234000000000002,0.8962370000000001,0.182426,0.241352,0.251173,0.8240649999999999,5
-0.030178,-0.346197,0.235627,-1.08105,0.17234000000000002,-0.681707,0.220177,-0.1216,0.687713,-0.611917,5
-0.672058,0.06991499999999999,0.395665,1.103662,0.261718,-1.30458,0.295677,0.025803,0.4694430000000001,-1.201341,5
0.303106,0.022808,0.146717,-1.815842,0.261718,-0.14188399999999998,0.371178,-1.088894,-0.372457,-0.207529,4
0.204355,-0.126364,0.335206,0.483538,-1.257711,-0.30798400000000004,0.333428,1.713545,0.438262,-0.332516,2
-0.190648,-0.063555,0.441898,1.289493,0.261718,0.730137,0.333428,0.463251,0.40708,0.581058,5
0.068573,-0.20487600000000006,0.424116,1.412158,0.261718,0.937762,0.484429,1.2479049999999998,0.562987,0.6804279999999999,4
0.117948,0.289748,0.392108,-1.747095,0.261718,0.356414,0.371178,0.968148,-0.247731,0.237752,4
0.15498,-0.197025,-3.210528,-0.736839,0.351096,-0.30798400000000004,0.295677,-0.005767,0.18881,-0.319689,2
-0.215336,0.250492,0.4739060000000001,1.1870889999999998,0.17234000000000002,-0.14188399999999998,0.106925,1.246022,2.153242,-0.046544,6
0.31545,0.540986,0.029355000000000006,-0.395163,0.261718,0.397939,0.257927,-0.090322,0.562987,0.328081,7
-0.412837,-0.346197,0.6019359999999999,2.211191,0.440474,2.225032,-0.232828,-0.538313,-0.310094,2.32828,6
-0.128929,-0.134216,0.26407800000000003,0.430695,0.261718,0.688613,0.257927,-0.435915,-0.964905,0.598803,2
0.105604,-0.189174,0.164499,-0.683757,0.261718,-0.349509,0.408929,-1.09769,0.095265,-0.418132,4
0.019197,-0.087108,0.384996,0.7949579999999999,0.261718,-0.391033,0.220177,-0.07209,-0.403638,-0.362642,4
-0.030178,0.093469,0.235627,1.206186,0.261718,1.103861,0.371178,0.531943,0.656532,0.894443,4
0.142636,0.203385,-0.006209,-0.8348270000000001,0.261718,1.768258,0.408929,-0.099952,-0.123005,1.458189,4
0.994361,-0.008597,-0.148465,0.8268840000000001,0.261718,1.560634,0.7864329999999999,-0.435896,-0.5283640000000001,1.043216,4
0.266074,0.415367,0.089814,-0.68501,0.261718,-0.681707,-0.006326,0.543009,0.4694430000000001,-0.500311,7
0.204355,-0.134216,0.043581,-0.6548729999999999,0.261718,1.643684,0.710932,-2.381456,-2.274526,1.172652,5
-0.104241,-0.197025,0.221401,0.17367,0.261718,0.190314,0.106925,0.133345,-0.185368,0.233822,2
0.377169,0.164129,0.139604,-0.241825,0.17234000000000002,0.06573999999999999,0.371178,-0.25358600000000003,-0.060642,-0.020059,4
-0.8819040000000001,-1.947839,0.217845,2.046336,0.17234000000000002,1.809783,1.012935,0.671578,0.812439,1.137439,6
-0.104241,-0.314793,0.6659510000000001,-0.06411,0.17234000000000002,-0.681707,0.031425,0.479521,0.18881,-0.503711,8
0.056229,0.43107,-3.210528,-1.133148,0.261718,1.145386,0.257927,-1.770298,-1.058449,0.999588,4
0.006853,-0.181323,0.388552,0.301377,-0.095795,1.726734,0.597681,-0.526838,0.18881,1.313841,4
0.105604,0.203385,-0.023991,0.995678,0.261718,0.231839,0.220177,-0.787471,-1.120812,0.205481,4
-0.141273,-0.024299,0.562816,-1.881367,0.08296100000000001,-0.764757,-0.081827,-0.243489,0.7500760000000001,-0.523831,8
0.883267,-0.314793,0.086258,-1.3378370000000002,0.976743,-1.055431,-1.2143389999999998,-0.204173,1.436069,-0.165384,9
-0.16596,-0.173471,-2.908234,-1.6700240000000002,0.351096,0.231839,0.106925,0.067973,-0.372457,0.279969,2
-0.054866,0.203385,0.05425,-0.028782,0.261718,-0.474083,0.144676,0.11189,0.126447,-0.38979,7
0.278418,0.06991499999999999,0.214288,-2.283942,0.08296100000000001,-0.930856,0.295677,-0.948618,-0.216549,-0.877275,4
0.13029200000000002,0.077766,0.299642,-0.693335,0.261718,0.06573999999999999,0.446679,0.659366,0.219991,-0.053825,4
-0.26471100000000003,-0.055704,-3.210528,0.413627,0.08296100000000001,-0.10036,-1.1010879999999998,2.089,2.589783,0.780185,6
0.019197,-0.118513,0.345875,-1.086511,0.261718,0.107265,-0.195078,-0.749203,-0.684271,0.339099,2
-0.38815,-1.021399,0.057807,1.228564,-0.006417,3.180103,0.710932,-0.620051,0.282354,2.524189,6
-0.141273,0.250492,0.406334,1.250286,-2.687761,0.688613,0.069175,2.14412,2.558602,0.713677,5
-0.00549,0.360409,0.28186,-0.213479,-1.168333,-1.30458,0.106925,0.973779,0.656532,-1.133085,5
0.266074,0.164129,0.118265,0.320234,0.261718,0.771662,0.52218,-0.042987,-0.185368,0.540456,4
-0.338774,-0.197025,0.530808,1.1462709999999998,0.708609,0.41178,0.144676,-0.243548,0.375899,0.425028,0
0.117948,-0.189174,0.029355000000000006,0.763359,0.887365,-0.391033,-1.176589,2.231063,1.093072,0.499071,9
