MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family,Genus,Species,Label
1.0,0.560104261,0.709352615,0.420078079,-0.03539877,0.036430101,-0.015024855,0.26922116,0.14956652,-0.407467315,-0.019590197,0.465651416,-0.115402703,-0.187322727,0.347350738,0.114758351,-0.08864407099999999,0.039315014,0.004526043,0.040475215,0.004726623,-0.189590885,2,2,5,0
1.0,0.204508207,0.14479277599999998,0.502755087,0.154529592,-0.043432482,-0.150957022,0.031280578,0.319920662,0.13444535300000002,-0.253795309,0.028425587,0.355126117,0.008891755,-0.29397495100000004,0.016421515,0.23820110100000005,0.07394239999999999,-0.108250957,-0.181784976,-0.013024206000000002,0.188382757,0,0,3,1
1.0,0.296800222,0.276992976,0.533162939,0.207521371,0.08825312699999999,-0.061761381,0.039469093,0.141140924,-0.043224101,-0.156244151,0.18961174600000005,0.14189843300000002,-0.254636341,-0.12149043,0.234006837,0.14051586900000002,-0.107952665,-0.160893327,-0.077493782,0.190505935,0.214731108,0,0,3,2
1.0,0.099312121,0.370296474,0.32997189,0.174240578,0.209541363,0.082041004,-0.141210997,-0.047825002,0.07421281099999999,0.07574964599999999,0.024666071,0.048857737000000005,-0.02415324,-0.12287779,0.028104606,0.138184103,0.023658496,0.012479855,-0.020517727,-0.045795659,0.045372709,2,2,6,3
1.0,0.466094637,0.45699121,0.352023884,0.141497509,0.094292891,0.019543238,0.028637809,0.181732187,0.108082866,-0.183214724,-0.047644752,0.249543196,-0.040513075,-0.088216486,0.069209668,-0.050278874,0.005034004,0.072530182,-0.04072668,-0.097110543,0.092193938,2,2,6,4
1.0,0.196562095,0.083538062,0.476925963,0.207192481,-0.006010255,-0.157327262,-0.065747482,0.213945208,0.18555063,-0.16939449199999998,-0.00584443,0.265500456,-0.032457316,-0.31745495100000004,-0.037940485,0.21736590600000005,0.07909846400000001,-0.066341615,-0.127457896,-0.012416291,0.209832223,0,0,3,2
1.0,0.54123365,0.519276119,0.441711789,-0.146024404,-0.112038127,0.301904073,0.024853885,-0.267632578,0.08128875299999999,0.155915041,-0.145543665,-0.06965923,0.143941735,0.007658231,-0.128931518,0.038669927,0.0654592,-0.049597446,0.032960772,0.083830834,-0.037773815,0,0,1,5
1.0,0.069634828,0.170713298,0.583894016,0.275507157,0.086235619,-0.152521045,-0.032355298,0.268402796,0.054420428,-0.152525792,0.218241256,0.230900434,-0.298819464,-0.22317302,0.283517604,0.256233935,-0.116248384,-0.23095107,-0.058545521,0.205891411,0.211869102,0,0,3,6
1.0,0.318295347,0.269486017,0.600889663,0.161854842,-0.04260191,-0.086322229,0.146489855,0.289850305,-0.009316587,-0.329964402,0.122574542,0.386886653,-0.080633252,-0.268433642,0.09651772,0.232556784,0.014850856,-0.119730349,-0.114195618,0.08944663300000001,0.16880546,0,0,3,7
1.0,0.198694596,0.190017591,0.532380385,0.141852564,-0.048666729000000006,-0.142996701,0.077152339,0.288774507,-0.025203085,-0.351278173,0.096248052,0.380537524,-0.116413807,-0.26483025600000004,0.13593767199999998,0.249204689,-0.002992963,-0.08793933300000001,-0.07906681900000001,0.07136833,0.169330937,0,0,3,8
1.0,0.27385333300000003,0.71087874,0.409978519,-0.288831601,0.257686211,0.403064205,-0.176373093,-0.040735546,0.216896461,-0.088801301,-0.053099917,0.260839485,0.127892696,-0.115744188,-0.052915982,0.08794219699999999,0.025651525,-0.056307121,0.022845353,0.0922813,-0.019744392,0,3,7,9
1.0,0.201111576,0.303918492,0.265091876,0.187047166,0.253374408,0.078029981,-0.170948405,-0.008125937,0.164798908,0.029994238,0.037344414,0.15964073,-0.031980905,-0.17146339600000002,0.02548922,0.129415578,0.034671609,-0.008577191999999999,-0.034742271,-0.064249803,0.015928118999999998,2,2,6,4
1.0,0.196774901,0.271952954,0.545200358,0.187331719,0.03872032,-0.061816657,0.08287032700000001,0.21803285,-0.067321991,-0.261539139,0.183010374,0.239740329,-0.26176924100000004,-0.165092046,0.223928046,0.141387911,-0.1505499,-0.15047292199999998,-0.022483191,0.17929025,0.145507739,0,0,3,6
1.0,0.658017945,0.33101542300000003,0.46415164,0.137281058,-0.039064257000000005,-0.093738597,0.110857908,0.317921006,0.08619051800000001,-0.189799889,0.085244495,0.320192652,-0.063796262,-0.234941232,0.035887466,0.164561016,-0.00920125,-0.08366802599999999,-0.122174273,0.040157286,0.167107918,0,0,3,10
1.0,0.156274464,0.334870273,0.335269368,0.169542158,0.198400163,0.114254351,-0.133593876,-0.060119267,0.09896022,0.061528355,0.053410658,0.102982856,-0.056402356,-0.14062055199999998,0.024721383,0.127714264,0.025301346,-0.026991657,-0.051343427,-0.052536527,0.010992975,2,2,6,3
