Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
25546,353,-98,811,-27,18,-959,427,9,-873,0
341234,-40,1058,336,-281,1009,171,252,1095,-135,1
133218,-414,911,306,-954,83,181,184,1009,77,0
549312,-171,127,1178,-9,-37,939,-1281,-161,-9,0
132953,-424,901,306,-954,101,151,194,990,97,0
344390,-353,588,89,254,805,515,97,1114,-38,1
518203,-373,892,396,-945,148,131,601,819,38,1
280578,-191,990,316,-436,888,121,0,1009,-87,1
124093,-424,921,306,-945,111,161,184,1009,87,0
603640,60,39,-960,-36,37,-979,-58,-9,1029,0
365078,636,-333,851,900,805,808,-67,942,-58,2
408031,-313,901,405,-963,175,111,563,828,116,1
390609,90,960,485,-290,972,121,9,961,-145,1
65953,-383,911,316,-954,120,141,155,990,145,0
350171,-20,1235,871,272,870,747,572,1123,77,2
59250,969,-196,-178,-945,240,323,252,647,-718,0
271125,-161,990,306,-454,879,111,58,1009,-38,1
245046,-383,911,267,-963,138,101,184,1019,87,0
284140,-111,980,376,-390,898,141,-9,1000,-77,1
146828,-414,911,297,-954,92,161,184,980,87,0
36859,50,29,-960,-36,27,-979,417,19,-873,0
520000,-343,892,396,-954,166,131,601,809,48,1
368125,20,901,485,-172,953,232,-48,1085,-145,2
65984,-424,931,306,-954,111,161,116,990,155,0
172625,-404,911,297,-954,101,161,194,990,87,0
97250,-424,901,346,-954,101,191,194,971,97,0
475078,-373,882,405,-945,148,121,582,809,48,1
237968,-404,931,227,-963,129,50,194,990,77,0
137890,-414,921,297,-963,101,161,184,990,106,0
302843,1373,1088,2376,-772,898,-151,-97,933,-106,1
546171,60,49,-970,0,-46,1000,-281,47,-864,0
590953,292,0,970,-27,27,-989,-58,-19,1019,0
462687,-343,901,386,-936,157,121,601,800,38,1
578671,30,88,-970,-36,27,-979,-29,0,1029,0
16765,-50,-39,-930,-27,18,-989,436,19,-873,0
205421,-383,931,277,-954,111,131,165,1000,77,0
459531,-353,892,405,-954,166,121,582,800,58,1
12843,40,29,-950,-27,18,-969,407,28,-873,0
125828,-414,901,306,-963,111,151,184,980,97,0
110687,-424,911,287,-954,92,151,165,1000,87,0
471468,-343,921,366,-945,166,90,582,809,48,1
303593,1757,1000,3762,-1327,740,-414,-174,990,-116,1
578640,90,68,-990,-36,27,-959,-19,-9,1019,0
65890,-424,892,277,-963,120,131,165,1000,174,0
549750,-1131,-49,653,1181,361,-464,-1262,95,126,0
287468,-121,960,376,-481,851,151,29,952,-116,1
479890,-343,882,396,-954,157,131,592,800,48,1
493140,-363,901,396,-963,148,141,582,809,48,1
399734,-292,921,326,-945,203,121,495,866,48,1
220140,-383,931,297,-972,120,121,174,1009,58,0
159343,-434,901,306,-954,101,161,194,1000,87,0
587437,40,68,-980,-27,27,-989,-38,-19,1019,0
200484,-424,901,287,-963,83,181,174,990,38,0
55968,151,872,-435,-954,166,161,320,847,-563,0
148046,-414,911,297,-945,111,141,174,1000,77,0
102984,-424,911,287,-963,101,161,194,971,97,0
147812,-424,931,287,-954,101,161,165,990,87,0
265703,-333,941,346,-963,166,80,-194,1000,-165,1
602578,50,58,-960,-18,18,-969,-48,-28,1019,0
531937,-373,941,376,-536,74,696,582,828,38,0
316218,-40,1117,455,27,1101,-30,252,1247,-126,1
600328,20,49,-950,-18,18,-989,-48,-28,1019,0
551640,-929,647,168,-109,27,-1060,-893,304,-97,0
18546,-90,-58,-980,-27,18,-989,436,9,-873,0
560921,50,49,-950,-18,18,-969,-19,-38,1009,0
262484,-444,921,257,-954,148,90,48,1019,-48,1
468796,-353,901,405,-963,157,101,592,819,67,1
290562,676,1254,722,-545,685,-60,-223,895,135,1
32468,40,58,-970,-18,18,-1000,436,19,-864,0
308203,-505,274,-19,245,648,626,19,990,67,1
87265,-414,892,316,-954,138,161,29,1038,-19,0
7421,40,39,-970,-36,37,-979,446,19,-893,0
445984,-353,911,366,-945,148,131,582,819,38,1
2234,50,39,-960,-27,37,-1000,0,0,0,0
468328,-343,882,386,-963,157,101,592,819,67,1
301125,343,1058,534,190,787,343,38,1066,-48,1
460046,-353,911,396,-945,166,90,582,819,48,1
115125,-404,901,297,-954,101,181,174,990,67,0
140546,-424,921,287,-954,83,171,184,971,77,0
220546,-383,931,277,-954,101,151,184,1000,77,0
56187,191,1421,247,-918,166,171,330,695,-485,0
484250,-353,901,405,-945,148,131,601,800,58,1
42218,30,68,-950,-36,46,-969,475,-9,-893,0
540890,60,9,-960,0,-46,1000,757,857,-77,0
24531,40,-9,-990,-27,37,-1000,446,0,-873,0
446062,-353,911,405,-945,157,90,563,819,29,1
376125,-525,58,366,954,675,848,-533,1171,-58,2
150000,-414,911,287,-945,92,181,184,990,87,0
522171,-353,911,386,-945,138,121,582,800,48,0
301031,-575,421,-168,645,1194,343,-203,1095,-48,1
11296,50,58,-950,-18,18,-979,446,9,-893,0
593343,-40,-78,-970,-45,27,-979,-58,-28,1009,0
7812,50,49,-940,-27,18,-1000,436,19,-854,0
48828,-242,0,-940,-127,-148,-1030,-1106,219,194,0
127437,-414,901,287,-954,101,161,194,990,87,0
292015,-181,960,297,-581,805,30,38,923,-165,1
121265,-424,911,297,-954,92,181,174,1000,77,0
370015,-80,1009,396,-236,972,171,67,1057,-58,1
246703,-393,901,267,-945,111,80,174,1019,116,0
538218,50,29,-950,9,-55,979,592,809,29,0
