age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Label
41,7,3,7,1,2,2,2,5,3,23,17,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,1,2,4,1,2,1,1,10,5,738,3,6,1,3,-1.1,94.601,-49.5,1.029,4963.6,1
47,6,3,2,3,2,2,1,7,1,431,3,999,0,2,1.4,93.918,-42.7,4.962,5228.1,0
29,10,3,7,1,2,2,1,11,4,281,2,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
44,3,2,7,1,2,2,1,11,4,96,1,999,0,2,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0
40,11,2,6,1,2,1,1,9,5,155,3,999,0,2,-3.4,92.379,-29.8,0.773,5017.5,0
33,1,3,4,1,2,1,1,5,2,659,1,999,0,2,-1.8,92.893,-46.2,1.344,5099.1,0
43,10,1,6,1,2,1,1,5,1,143,1,999,0,2,-1.8,92.893,-46.2,1.264,5099.1,0
31,10,2,7,1,1,1,1,8,4,56,2,999,0,2,1.4,93.444,-36.1,4.964,5228.1,0
36,2,2,2,1,2,1,1,11,3,70,1,999,0,2,-0.1,93.2,-42.0,4.12,5195.8,0
38,11,2,1,3,1,1,1,7,2,1058,1,999,0,2,1.4,93.918,-42.7,4.961,5228.1,1
33,2,2,3,1,2,2,1,5,2,341,1,999,0,2,-1.8,92.893,-46.2,1.291,5099.1,0
35,2,2,3,1,2,1,1,12,4,105,1,4,3,3,-3.0,92.713,-33.0,0.7070000000000001,5023.5,0
49,10,2,6,1,2,1,2,5,2,57,1,999,0,2,1.1,93.994,-36.4,4.856,5191.0,0
28,2,2,1,1,2,1,1,7,1,113,1,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
27,1,2,4,1,2,2,1,5,4,201,1,999,0,2,-1.8,92.893,-46.2,1.266,5099.1,0
60,10,2,6,3,1,1,2,7,2,55,15,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
38,1,3,3,3,2,1,2,6,3,247,5,999,0,2,1.4,94.465,-41.8,4.962,5228.1,0
18,9,3,8,1,2,2,2,8,3,297,1,999,0,2,-1.7,94.027,-38.3,0.9,4991.6,0
42,1,2,4,1,1,1,1,11,1,651,2,999,1,1,-0.1,93.2,-42.0,4.191,5195.8,1
77,6,1,6,1,1,1,1,8,1,258,1,999,0,2,-1.7,94.027,-38.3,0.898,4991.6,0
37,8,2,4,3,2,2,2,5,4,73,3,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
41,10,2,6,1,2,1,2,5,3,446,2,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
41,1,2,3,1,2,1,1,11,3,135,1,999,0,2,-0.1,93.2,-42.0,4.12,5195.8,0
26,2,2,3,1,2,1,1,7,1,159,2,999,0,2,1.4,93.918,-42.7,4.96,5228.1,0
40,2,2,1,1,1,1,2,6,1,258,2,999,0,2,1.4,94.465,-41.8,4.961,5228.1,0
31,10,1,7,1,2,1,1,8,4,132,1,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
54,1,2,7,3,1,2,2,5,4,82,2,999,0,2,1.1,93.994,-36.4,4.86,5191.0,0
30,10,2,7,3,2,1,2,5,3,72,3,999,0,2,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
55,2,2,6,1,2,2,1,5,5,197,3,999,1,1,-1.8,92.893,-46.2,1.25,5099.1,0
41,2,2,1,1,2,1,2,5,3,152,3,999,0,2,1.1,93.994,-36.4,4.856,5191.0,0
44,5,1,7,1,2,1,1,4,5,230,1,999,0,2,-1.8,93.075,-47.1,1.479,5099.1,0
28,1,3,4,1,2,1,1,5,2,59,3,999,0,2,-1.8,92.893,-46.2,1.291,5099.1,0
26,4,3,4,3,2,2,2,7,4,127,1,999,0,2,1.4,93.918,-42.7,4.963,5228.1,0
36,2,2,2,1,2,1,2,5,3,57,1,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
42,4,2,1,3,2,1,2,6,5,38,8,999,0,2,1.4,94.465,-41.8,4.959,5228.1,0
54,10,2,6,3,2,1,1,4,1,698,1,999,0,2,-1.8,93.075,-47.1,1.405,5099.1,0
49,1,2,4,1,1,1,1,8,5,151,1,999,0,2,1.4,93.444,-36.1,4.966,5228.1,0
27,9,3,3,1,2,1,1,8,3,111,1,999,0,2,-1.7,94.027,-38.3,0.9,4991.6,0
42,1,2,7,1,2,1,1,5,1,370,5,999,0,2,-1.8,92.893,-46.2,1.354,5099.1,0
31,2,3,3,1,1,1,2,6,3,767,2,999,0,2,1.4,94.465,-41.8,4.864,5228.1,1
28,2,2,2,3,1,1,1,5,1,68,2,999,1,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1,0
54,2,1,8,3,2,1,2,6,4,339,3,999,0,2,1.4,94.465,-41.8,4.958,5228.1,0
35,2,2,3,3,1,1,2,5,4,170,1,999,0,2,1.1,93.994,-36.4,4.855,5191.0,0
32,8,3,4,1,2,1,1,5,3,53,1,999,1,1,-1.8,92.893,-46.2,1.281,5099.1,0
24,9,2,7,1,1,1,1,7,2,114,1,999,0,2,1.4,93.918,-42.7,4.961,5228.1,0
32,8,2,4,1,1,2,1,7,5,157,3,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
48,8,3,1,3,2,2,1,5,4,106,2,999,0,2,-1.8,92.893,-46.2,1.266,5099.1,0
30,1,2,4,3,2,1,1,11,3,246,3,999,0,2,-0.1,93.2,-42.0,4.12,5195.8,0
34,2,2,3,1,1,1,2,6,2,7,1,999,0,2,-1.7,94.055,-39.8,0.7020000000000001,4991.6,0
23,2,3,4,1,1,1,1,7,3,251,1,999,0,2,1.4,93.918,-42.7,4.957,5228.1,0
31,1,2,7,1,2,1,1,8,4,280,7,999,0,2,1.4,93.444,-36.1,4.963,5228.1,0
30,1,3,7,1,2,1,1,11,2,288,1,999,0,2,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
32,2,2,3,1,1,1,1,11,1,1091,2,5,1,3,-0.1,93.2,-42.0,4.191,5195.8,1
39,2,3,3,1,2,1,1,11,1,78,2,999,0,2,-0.1,93.2,-42.0,4.191,5195.8,0
33,2,2,2,3,2,2,2,5,5,1132,2,999,0,2,1.1,93.994,-36.4,4.855,5191.0,1
46,8,2,3,1,1,2,1,5,3,227,2,999,0,2,-1.8,92.893,-46.2,1.334,5099.1,0
35,2,2,2,1,2,1,1,11,2,372,2,999,0,2,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
52,2,2,1,1,1,1,2,5,5,136,2,999,0,2,1.1,93.994,-36.4,4.859,5191.0,0
34,2,2,2,1,1,1,2,6,5,381,3,999,0,2,1.4,94.465,-41.8,4.947,5228.1,0
31,1,2,7,1,2,1,1,8,4,96,5,999,0,2,1.4,93.444,-36.1,4.962,5228.1,0
45,5,2,1,3,2,1,2,5,5,100,1,999,0,2,1.1,93.994,-36.4,4.855,5191.0,0
42,2,2,1,1,1,1,2,5,3,456,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,8,2,6,3,2,2,1,8,1,84,3,999,0,2,1.4,93.444,-36.1,4.965,5228.1,0
32,8,3,7,1,1,1,1,9,4,128,3,999,2,1,-1.1,94.199,-37.5,0.884,4963.6,0
46,8,2,4,1,2,1,1,4,1,180,1,999,0,2,-1.8,93.075,-47.1,1.405,5099.1,0
45,1,2,7,3,2,1,2,5,2,99,6,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
