Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Label
1089578,666,598,534,745,500,292,281,771,601,0
1078375,676,588,534,763,500,282,271,800,553,0
954406,636,588,564,736,500,343,271,800,572,1
1200156,-50,833,871,-81,953,50,-67,1057,-106,0
390375,616,2225,475,1100,1305,-20,-9,1076,58,0
1205500,-40,1019,227,372,916,30,-378,923,-116,0
547250,-80,1019,217,209,953,40,-116,1019,-77,2
716593,-111,1411,158,490,1111,-191,-155,1142,-145,0
1003640,616,588,584,736,500,343,271,809,533,0
715937,-50,1000,326,163,962,222,-155,1028,-106,0
1263203,232,2127,247,1136,1305,-181,-145,1095,-48,0
215828,-60,950,415,772,509,191,184,895,436,1
1386421,343,1754,-237,1336,1268,-404,-233,1047,-174,2
790718,-50,774,633,590,583,454,87,1009,233,0
1200046,-202,1117,198,90,990,-20,-262,1000,0,0
225609,-50,941,425,781,518,212,194,885,436,1
261906,40,990,326,790,490,131,165,904,456,1
935859,626,588,584,745,481,323,271,800,543,1
1494140,-252,401,-920,863,-18,484,-970,542,339,1
1416937,-313,950,108,18,1000,-111,-67,1038,-116,0
284515,50,990,356,790,490,171,174,904,446,1
944546,626,617,564,727,500,313,281,780,582,1
378078,545,0,356,-509,990,252,310,1285,-184,0
964375,626,588,594,736,490,343,271,790,572,1
1486781,-434,78,-861,881,-101,616,-932,447,-291,1
1011703,606,578,594,745,481,323,281,790,572,0
694906,-131,921,445,663,592,343,203,828,572,0
1379156,-161,1088,188,318,953,30,-106,923,-106,2
1286437,90,382,158,-481,740,50,0,1009,-58,0
287921,50,980,366,800,481,171,174,914,427,1
1456359,141,1029,9,763,537,-151,398,923,48,0
1290203,151,813,306,-172,787,60,87,961,0,2
342062,111,980,287,281,907,121,-19,885,-174,0
1078937,666,598,514,763,500,272,281,780,582,0
1122328,656,598,514,754,509,272,271,790,572,0
342312,-101,1029,237,145,962,171,-58,1009,-213,0
1001437,616,578,584,754,500,323,271,800,563,0
719437,1010,117,-326,-954,787,-333,-87,838,87,0
898468,636,578,584,736,509,303,271,809,553,0
409671,-1707,1794,-881,1190,1138,-484,300,885,194,0
235359,-40,950,405,772,518,191,203,904,446,1
751703,-141,1019,108,154,981,0,-339,847,-427,0
200328,-50,950,415,763,527,191,165,923,436,1
1216453,-101,1029,207,218,972,20,-9,1000,9,0
244078,-50,960,425,763,527,191,184,895,436,1
714562,-242,1009,217,145,981,262,-67,1066,-77,0
349812,-121,1411,108,-645,648,-90,58,933,19,0
1346593,-141,990,217,181,925,121,-77,980,-97,0
626281,-101,1009,148,218,944,20,-67,1028,0,0
1247312,-171,990,316,0,1009,161,-9,1066,-106,0
613234,-363,1029,643,-1036,1027,131,77,952,-456,2
1479828,505,803,425,18,27,-979,-922,171,58,1
1502500,-222,441,-752,736,379,303,-980,704,-233,1
1242265,-313,1274,148,445,1000,-20,-58,952,-145,0
1334312,383,1696,-207,1618,1416,-707,-194,1438,-359,0
650437,-141,1000,217,190,953,10,-203,971,29,0
660296,111,656,257,-390,703,-20,0,923,19,0
1042500,626,578,594,727,500,313,262,800,543,0
1469562,333,970,118,809,481,-50,776,580,233,0
1091093,676,588,534,763,500,292,271,790,582,0
486187,-161,1039,138,181,962,-30,-48,1019,48,0
875750,666,598,554,745,490,303,262,819,553,0
44500,70,29,-980,-18,37,-1010,-155,-304,-912,1
336593,-70,1019,148,190,972,10,0,1000,-97,1
922500,636,578,594,736,500,303,271,809,553,1
1520437,70,29,-970,36,46,-969,349,-133,-912,1
1123484,676,588,534,772,481,303,281,790,592,0
1206843,0,1019,168,272,962,20,-77,1000,-77,0
472640,-141,1029,99,154,981,-50,-106,1000,262,0
1419671,-232,980,198,-27,981,80,0,961,-126,2
450390,20,1294,89,309,1120,-20,184,1047,165,2
34265,70,49,-970,-27,37,-959,-174,-295,-912,1
430687,545,176,198,-500,675,121,223,895,165,0
271187,50,960,356,809,472,161,174,904,446,1
959062,626,598,584,754,490,333,281,800,572,1
1264796,353,1107,-386,181,824,-101,223,1019,29,0
476640,-141,1029,99,154,981,-60,-155,1000,-38,0
10718,50,49,-980,-18,27,-989,-174,-314,-922,1
468093,-171,1166,178,290,972,-151,456,885,300,0
221250,-50,950,415,763,509,191,184,904,446,1
1213546,-101,1029,188,181,962,20,-9,1019,-9,0
993703,636,598,574,745,500,323,271,800,572,1
1460062,212,1009,19,781,527,-121,825,485,271,0
716703,-535,784,524,-81,981,121,0,914,-87,0
1571984,50,29,-960,36,46,-969,330,-114,-902,1
1052828,686,607,465,772,500,202,291,780,553,0
72718,202,892,514,809,425,262,-310,85,970,1
799281,-40,872,594,672,546,424,203,828,533,0
704078,-131,941,445,681,583,363,203,828,563,0
536656,-161,1039,198,245,907,-40,-126,809,29,0
1251359,-232,980,376,18,1027,161,29,1114,-19,0
1171046,-70,745,732,609,564,525,320,761,582,0
1253656,-202,1009,287,118,953,101,-67,980,-48,0
686750,-141,941,435,672,592,333,213,819,563,0
403437,464,274,188,-400,629,-10,106,1000,48,0
1017875,606,578,594,745,509,303,281,800,563,0
793375,-30,882,574,681,537,393,213,847,543,0
981593,626,588,574,754,481,343,271,790,572,1
1092578,666,598,534,754,500,282,262,780,601,0
1426671,171,215,247,-527,620,121,106,1066,-29,0
1271703,-171,1009,326,72,1009,181,-67,1133,-97,2
573609,-60,1029,198,181,962,111,29,1028,-48,2
1327046,-232,1088,465,163,898,70,106,942,-466,0
942125,626,578,574,745,490,333,281,790,553,1
1223500,-121,1029,207,190,972,50,-29,1019,9,0
141312,-101,980,277,272,944,70,-922,190,-38,1
246140,-60,950,405,772,509,222,184,904,446,1
1510531,-40,58,-970,54,55,-979,368,-104,-912,1
1091468,666,598,534,763,509,272,291,771,601,0
1433765,-111,1225,-386,281,1055,181,-48,1066,-174,0
1338656,-272,941,237,-63,981,141,-174,961,-184,0
574203,-202,1058,237,72,1009,-20,-48,1142,-77,2
584437,-222,1000,287,281,1009,121,-242,1180,-87,0
1036796,606,588,564,736,509,303,281,800,563,0
1400296,-959,1529,-712,545,1194,-90,97,1123,67,2
1343546,60,1019,9,563,981,-242,-29,1390,-9,2
896843,646,568,574,754,509,343,262,790,572,0
993687,646,578,584,745,509,323,271,800,563,1
1295359,-60,784,336,-345,611,70,0,961,-19,0
67656,202,882,514,809,416,252,-310,95,951,1
1183218,-111,1049,257,254,935,202,0,876,-106,0
192078,-50,960,425,772,518,222,174,914,427,1
196843,-40,941,425,772,518,202,155,923,417,1
741937,-141,1029,118,163,981,-30,-242,980,-223,0
1322750,-252,1029,247,200,935,141,-58,800,87,0
260796,30,990,346,781,500,141,184,895,436,1
4796,70,39,-970,-9,37,-1000,0,0,0,1
435890,-121,774,356,-463,527,-10,184,866,252,2
482734,-191,1019,69,145,972,-50,-97,1009,48,0
1145406,-50,813,693,654,555,464,174,971,291,0
997703,616,588,594,736,500,333,281,800,553,1
485671,-141,1019,79,172,981,-20,-29,1057,67,0
532906,-787,872,356,-227,1203,222,194,1171,67,0
1147625,-50,774,693,627,564,484,330,761,582,0
1356250,-222,950,722,172,1203,50,9,990,-320,2
659078,-1181,735,673,-827,1240,444,252,1114,-116,0
1125328,656,598,544,763,490,292,281,780,572,0
1004203,626,588,584,736,490,353,281,800,553,0
793656,-50,901,544,681,546,383,223,838,533,0
173031,-50,960,396,763,518,181,165,923,417,1
70968,202,882,514,818,435,232,-310,95,961,1
799328,-30,892,554,690,537,404,213,838,533,0
1367734,-414,823,138,-181,962,30,29,1019,-194,2
631500,-80,1029,138,227,953,-20,-58,1019,19,0
970078,626,617,554,745,490,333,271,800,563,1
1133781,686,598,524,763,490,292,291,780,582,0
302171,20,980,376,790,481,161,174,904,446,1
120750,212,862,524,800,425,272,-1009,314,87,1
780093,383,362,158,-436,666,121,-9,1047,-38,0
215031,-50,950,405,763,509,191,194,895,446,1
1269765,-101,1029,277,218,981,121,-29,1000,-48,0
485078,-171,1009,79,172,981,-40,0,1028,77,0
771312,-70,1029,138,363,925,101,-87,1000,-58,0
609640,30,1470,89,663,1259,-131,-398,1028,-19,2
59453,383,166,-891,618,-175,-535,-796,438,-281,1
1420031,-222,901,138,72,944,-40,-38,895,-174,2
139531,252,941,396,627,740,101,-1009,-133,242,1
724468,-232,1137,316,-145,953,-101,155,942,-213,2
1219687,-101,1019,217,200,962,50,-38,1000,-9,0
826750,-40,872,574,663,537,414,213,857,543,0
1043109,626,568,584,736,518,333,271,819,563,0
1145156,-40,784,702,636,546,464,155,971,281,0
1527343,-131,-88,-960,45,55,-959,339,-123,-912,1
717968,-282,1117,237,18,1129,121,-145,1085,-19,0
1488796,-20,264,-801,736,287,-262,-776,419,58,1
1323921,191,2039,207,890,1287,-80,-407,1152,-87,0
492062,40,1019,128,427,870,80,-67,961,29,0
600250,-80,1117,237,709,759,-10,9,761,0,0
298468,40,970,366,790,490,151,174,904,427,1
625687,-101,1009,138,218,972,-20,-58,1009,0,0
1101609,676,607,514,754,509,282,262,771,582,0
1212375,-101,1019,178,172,972,40,0,1019,-19,0
