20140101_N,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,Label
287.11,7970.77,1486.42,7606.64,7970.77,4010.22,327.337,7297.34,1319.6,3891.45,2089.22,1550.49,530.367,1120.83,405.999,1051.21,551.5740000000002,1633.08,1230.38,674.921,835.263,381.568,6246.74,298.297,1619.79,941.816,6294.55,542.64,0
1759.9,7978.79,7492.74,2699.01,7404.52,3616.91,5653.23,5452.59,5953.58,6787.18,5578.69,7292.23,4691.1,7978.79,767.0010000000002,3168.41,1271.61,1020.02,957.124,3303.87,3915.11,2012.58,2055.66,3568.46,157.985,5969.46,6206.36,6319.11,0
890.804,1973.83,1973.83,1183.3,920.9,1130.27,1285.41,1152.11,1288.05,1627.61,1192.14,1337.1,552.621,1226.08,1136.89,1681.03,1084.19,828.368,1211.2,1612.11,640.638,1191.51,1470.43,1305.21,1062.28,683.186,943.396,491.105,1
7249.02,7845.39,7304.73,7700.33,5397.58,7845.39,370.099,7386.34,7518.17,7281.65,7621.11,7364.5,5480.34,871.877,4603.14,824.163,2003.28,3162.07,4932.96,2935.92,951.981,2253.78,4602.37,308.879,4696.73,5881.63,6515.26,2300.74,0
7980.11,7980.11,7235.44,6330.19,7518.13,7511.36,7325.16,4557.28,238.68400000000003,6173.61,2531.1,7956.63,815.2080000000002,946.828,1441.11,1487.3,297.317,2862.67,2697.72,2885.57,6020.08,2024.24,955.574,551.538,6694.52,788.174,7187.05,6307.88,0
7591.1,7845.03,6121.03,7845.03,7784.1,5178.8,471.946,7776.12,7554.54,7733.35,906.019,7267.39,1552.26,892.3919999999998,4231.03,937.533,2477.49,3067.35,2834.11,1440.69,605.062,7324.56,4671.91,2087.66,808.75,892.42,7259.58,2392.83,0
461.48,7943.49,7694.17,2695.08,5989.07,7927.14,381.583,530.9119999999998,412.162,7943.49,3860.27,623.891,183.47,2425.48,276.461,925.563,416.533,1471.0,964.388,7531.34,7322.83,456.77,7110.37,391.172,1276.52,334.87,7203.76,716.18,0
2493.57,8378.38,5468.54,8092.34,7493.28,6231.96,6069.3,6535.2,701.2639999999999,7084.71,7431.72,7831.89,1282.8,8236.9,2391.66,8378.38,1430.91,697.8860000000002,3797.56,7789.46,4088.49,3131.59,1139.34,4972.31,1168.04,4870.1,6413.42,967.445,0
3188.8,5354.32,3765.13,3775.19,2284.51,3024.03,3136.2,3316.28,3276.03,3814.32,3613.35,3900.18,623.536,2977.67,5192.84,1030.66,5354.32,1572.92,3500.57,2235.78,2310.34,2201.21,2247.61,670.1619999999998,453.384,482.605,3197.71,940.923,2
7918.65,8087.67,7693.25,7500.48,5539.64,1720.91,1172.92,7744.74,1366.12,8087.67,6379.62,7830.37,1038.25,1382.31,512.436,831.7180000000002,2205.12,2004.12,1765.57,7818.37,817.419,5388.29,6386.31,410.191,6817.99,1258.64,7084.93,1301.74,0
1151.63,7921.16,5765.84,7392.37,4515.24,6936.98,6924.91,6628.36,758.942,7705.9,3740.73,7921.16,2913.69,3388.4,4366.35,5742.4,956.521,473.242,1488.55,7866.81,4888.55,2671.4,2960.81,1058.54,4855.95,7087.81,7552.94,7812.55,0
1085.76,8294.97,7937.06,8294.97,8249.13,2414.87,7777.78,7947.6,4677.58,5360.56,7998.94,7859.49,4168.02,3872.12,874.487,2012.43,4779.4,1157.4,2150.1,8100.9,372.481,2413.35,588.906,7053.77,6122.86,6007.02,7860.99,5461.26,0
494.562,7202.26,5867.1,515.595,7202.26,4319.81,334.511,1641.91,451.185,7156.22,1092.16,6483.04,287.812,2002.36,315.467,1087.95,518.9580000000002,2745.55,1128.48,5788.23,1299.06,432.987,4156.65,592.312,1181.19,344.208,6725.24,519.798,0
6516.63,8017.3,8017.3,4877.37,1187.66,4688.32,6621.22,6815.79,804.183,7616.49,7815.21,7954.37,6275.69,746.065,728.3919999999998,1636.23,289.178,3705.2,774.678,5871.45,5168.55,1513.29,2135.1,504.771,6329.14,3211.68,6716.06,1105.7,0
1199.38,8330.53,4040.12,7530.32,1763.12,6199.37,6457.77,6117.47,1331.38,6129.06,4318.56,7552.27,2625.05,8035.34,3099.21,2944.88,2748.22,530.76,4437.75,8330.53,1126.25,1682.57,4337.27,651.136,5597.16,6771.59,7081.27,2001.39,0
520.692,8096.92,6448.36,7945.91,676.203,7690.65,7465.26,7943.75,425.048,7934.34,7865.79,7865.28,6723.64,8096.92,7090.33,6944.04,5107.76,686.367,4247.73,1797.55,294.837,3216.34,393.769,1737.54,1458.16,1234.76,6901.75,7767.48,0
7090.08,8185.11,7686.58,7636.74,8003.45,7987.81,7803.1,8015.93,424.652,8124.14,2222.68,8185.11,3855.06,1203.76,869.36,1323.78,254.7,4264.48,979.817,6569.65,5046.51,7900.64,699.873,355.275,7905.81,649.742,7579.93,6639.33,0
2066.74,7719.27,6944.19,7580.46,1696.92,5816.91,4667.91,794.8510000000001,7061.58,6429.51,7457.92,7249.33,411.133,858.6030000000002,966.29,921.631,240.126,1421.69,3566.95,7175.47,6353.27,7719.27,2476.58,984.0,578.937,604.648,7556.79,6869.36,0
444.069,6932.14,6932.14,6620.64,4596.88,4642.59,4633.16,4600.61,4859.42,4012.41,5517.31,6927.09,910.81,6264.54,4800.85,3961.05,1370.93,854.9119999999998,3675.84,555.297,4899.74,4042.0,3534.96,1360.64,785.9839999999998,4704.07,5889.23,1510.41,1
7341.63,8289.55,7986.58,7953.23,8169.24,8289.55,7956.36,8088.12,770.711,8212.69,1950.61,8248.41,3772.94,1132.45,848.512,1217.71,251.31,3931.64,891.672,7838.73,6182.54,8184.87,390.909,374.983,3336.65,580.729,7710.03,7366.73,0
414.97,1106.6,1043.74,435.37,450.466,717.695,863.2739999999999,1106.6,645.8580000000002,878.28,-31.1066,731.658,235.681,783.936,407.328,995.8,744.745,535.021,640.512,947.81,773.6160000000001,317.516,-397.233,328.902,496.841,244.39,748.689,828.383,1
5471.17,7681.78,5235.89,7316.15,715.346,7240.37,1540.28,7633.04,2333.69,5585.72,2819.87,7681.78,612.764,1021.89,467.227,727.5160000000002,531.621,3636.83,1880.74,6442.01,1115.9,2059.43,996.499,360.244,6467.21,1945.94,6992.73,2403.85,0
8129.22,8227.1,7975.43,7835.24,589.211,8227.1,8022.42,8048.27,3724.23,7973.93,3316.76,8002.86,3992.84,502.276,2242.03,1160.55,252.409,4545.61,753.97,4659.61,5744.68,2610.91,1119.07,384.006,4086.37,610.576,7468.87,679.445,0
596.615,7963.62,7770.18,7257.17,7963.62,1807.39,420.921,415.786,603.078,4486.86,787.6469999999998,3719.93,1484.79,1243.85,631.322,847.048,481.3730000000001,1705.03,1191.77,7801.2,3690.22,7933.28,3950.1,326.642,2273.71,431.746,7306.37,588.826,0
2293.12,7258.29,6150.1,204.965,2408.85,3202.56,798.933,6146.18,5804.41,2825.57,4483.65,455.192,743.44,2434.27,306.258,1246.7,1585.1,1320.83,1989.8,1755.65,532.145,1581.69,2400.03,994.366,440.051,821.817,7258.29,396.891,2
1905.81,8046.66,7698.89,7984.12,670.0269999999998,7970.17,301.647,8033.41,2414.56,605.137,1408.32,8046.66,7939.02,5059.35,449.402,2768.31,2291.41,2322.77,4991.76,1198.5,7223.36,1410.09,6835.84,1584.06,1263.58,278.513,7605.1,561.487,0
3307.44,8104.09,7444.26,7882.38,4039.08,7420.45,7544.06,7711.89,6709.22,7800.31,4480.91,7764.09,6309.4,8104.09,5634.73,5956.97,7382.95,788.7860000000002,1857.58,7810.57,2249.48,2865.24,581.779,7067.36,500.622,1645.8,7760.32,7498.4,0
7466.35,7674.6,2461.23,5694.27,7307.73,7391.78,467.161,1439.13,4995.63,7674.6,795.3969999999998,7602.61,4982.53,3079.78,2879.81,878.689,744.4910000000001,1198.26,6904.34,5677.44,618.455,601.644,1366.74,5376.78,6810.14,1160.09,7432.42,1587.91,0
439.749,8188.24,7707.58,4623.06,8188.24,8126.84,102.606,1183.7,4963.09,7765.52,673.697,403.565,256.456,1124.25,378.539,988.328,482.073,1480.59,1869.76,507.996,3023.64,7743.05,2129.51,410.047,7463.28,451.903,7108.04,288.12,0
1455.95,7688.19,7058.92,2693.55,997.522,4801.04,4460.97,6240.14,932.139,699.797,3186.33,7688.19,1100.46,1247.12,510.253,769.1039999999998,530.61,3850.67,699.85,6866.11,2217.56,6354.13,6531.49,344.082,3953.91,5170.53,7062.63,670.633,0
5296.24,7179.94,6836.05,5335.96,1546.18,4547.39,1245.33,4601.77,6571.32,7179.94,2923.77,6216.88,1698.73,1145.6,4385.3,1313.6,288.72,776.541,4355.72,5494.86,4588.45,6101.15,5302.36,1510.76,6860.94,1156.55,6230.04,701.377,2
1577.32,8321.88,6152.89,8081.23,2425.58,1483.3,3180.68,7314.65,4656.22,7129.12,7665.05,7234.21,957.659,912.349,4717.26,8321.88,6992.58,483.315,2234.78,8068.54,6460.09,4507.12,714.227,6286.46,976.909,1431.46,7248.01,1730.12,0
3621.92,7138.3,4633.17,778.035,4630.26,2032.71,509.011,7138.3,1501.93,7088.74,705.28,796.289,1312.23,3682.54,2051.84,503.579,449.411,2067.64,4105.05,4120.75,4793.15,5066.38,4613.37,271.562,2785.4,562.891,6661.11,535.868,2
7196.93,7196.93,7177.66,5360.87,4800.72,4713.03,4271.31,5186.81,1979.13,6870.94,1856.37,6920.45,5270.78,1623.71,1264.83,1412.12,234.997,4638.63,1570.41,4370.95,4326.26,2983.59,2547.21,352.3180000000001,4139.75,454.722,4702.28,5205.6,0
3457.89,7414.75,4715.46,3713.73,6758.22,7229.1,7308.69,7165.56,170.71200000000005,5433.19,6880.75,6583.13,6366.03,3760.47,1984.9,1488.81,236.415,3426.03,2740.39,7414.75,4856.7,7410.81,1098.7,623.068,4987.87,1062.44,6331.61,3274.67,0
515.388,4572.5,4572.5,2173.77,239.554,3844.49,2823.93,3811.2,3861.5,1705.36,2691.36,1807.27,2670.68,2548.01,1165.8,2549.62,3963.86,2917.72,768.8539999999998,4022.5,2925.29,2962.25,2829.1,374.286,904.384,239.202,1981.85,2173.37,1
2802.01,7723.17,7534.01,7500.33,6205.15,6969.12,6464.47,6230.29,3479.17,6268.35,7229.75,1358.31,5196.72,1681.04,1517.43,4054.25,6462.59,498.202,3572.87,7723.17,4460.27,2889.21,282.195,1033.25,811.997,1094.3,7233.28,4887.55,0
7212.18,7824.92,1669.73,3042.28,513.014,1748.16,1227.05,433.99300000000005,7326.41,5988.12,7824.92,7410.77,7355.89,558.5980000000002,6081.62,1602.78,675.442,2840.89,5375.51,7222.68,319.959,1788.95,520.415,2598.15,907.767,5005.57,7041.96,4884.33,0
1239.02,8020.6,7681.82,8018.07,635.024,7566.45,7877.41,7954.52,2814.66,8020.6,7975.46,7968.5,6011.51,7989.84,3452.08,6993.81,5611.58,733.803,1719.16,7870.15,1342.99,3108.18,667.747,2664.88,2933.72,7223.75,7929.1,7720.57,0
